FACILITY NO.,SCHOOL NAME,STATION,COUNT OF ADV PAY STUDENTS,COUNT OF REG STUDENTS,TOTAL COUNT OF STUDENTS, TOTAL PAID                          
11000101,UNIVERSITY OF MONTEVALLO                                              ,322,0,122,122,"$1,098.00 "
11000201,AUBURN UNIVERSITY                                                     ,322,0,1033,1033,"$9,297.00 "
11000301,ATHENS STATE UNIVERSITY                                               ,322,0,201,201,"$1,809.00 "
11000901,UNIVERSITY OF ALABAMA                                                 ,322,0,1598,1598,"$14,382.00 "
11001801,UNIVERSITY OF ALABAMA AT BIRMINGHAM                                   ,322,1,760,761,"$6,853.00 "
11001901,COLUMBIA COLLEGE- REDSTONE ARSENAL                                    ,322,0,179,179,"$1,611.00 "
11003001,Z (W/D) JONES SCHOOL OF LAW                                           ,322,0,1,1,$9.00 
11011201,UNIVERSITY OF SOUTH ALABAMA                                           ,322,0,962,962,"$8,658.00 "
11501401,UNIVERSITY OF ALABAMA IN HUNTSVILLE                                   ,322,0,479,479,"$4,311.00 "
11505001,JACKSONVILLE STATE UNIVERSITY                                         ,322,0,382,382,"$3,438.00 "
11800001,TROY UNIVERSITY                                                       ,322,0,2108,2108,"$18,972.00 "
11800101,TROY UNIVERSITY-MONTGOMERY CAMPUS                                     ,322,0,220,220,"$1,980.00 "
11800201,TROY UNIVERSITY-DOTHAN CAMPUS                                         ,322,0,204,204,"$1,836.00 "
11800501,TROY UNIVERSITY-PHENIX CITY                                           ,322,0,190,190,"$1,710.00 "
11802101,AUBURN UNIVERSITY AT MONTGOMERY                                       ,322,0,503,503,"$4,527.00 "
11901101,ALABAMA A & M UNIVERSITY                                              ,322,0,307,307,"$2,763.00 "
13000101,UNIVERSITY OF NORTH ALABAMA                                           ,322,0,273,273,"$2,457.00 "
13000301,UNIVERSITY OF WEST ALABAMA                                            ,322,0,114,114,"$1,026.00 "
13901101,ALABAMA STATE UNIVERSITY                                              ,322,2,351,353,"$3,185.00 "
14000301,SNEAD STATE COMMUNITY COLLEGE                                         ,322,0,83,83,$747.00 
14001001,SOUTHERN UNION STATE COMMUNITY COLLEGE                                ,322,0,331,331,"$2,979.00 "
14001301,NORTHWEST-SHOALS COMMUNITY COLLEGE-NW CAMPUS                          ,322,0,16,16,$144.00 
14001401,BEVILL STATE COMMUNITY COLLEGE-JASPER                                 ,322,0,29,29,$261.00 
14001501,JAMES H. FAULKNER STATE C.C.                                          ,322,0,287,287,"$2,583.00 "
14001601,GADSDEN STATE COMMUNITY COLLEGE                                       ,322,4,202,206,"$1,870.00 "
14001801,JEFFERSON STATE COMMUNITY COLLEGE                                     ,322,0,365,365,"$3,285.00 "
14001901,ALABAMA SOUTHERN COMMUNITY COLLEGE                                    ,322,0,22,22,$198.00 
14002101,NORTHEAST ALABAMA COMMUNITY COLLEGE                                   ,322,0,81,81,$729.00 
14002201,ENTERPRISE STATE COMMUNITY COLLEGE                                    ,322,0,265,265,"$2,385.00 "
14002301,CENTRAL ALABAMA COMMUNITY COLLEGE-ALEXANDER CITY                      ,322,0,37,37,$333.00 
14002401,JEFFERSON DAVIS COMMUNITY COLLEGE                                     ,322,0,35,35,$315.00 
14002601,BEVILL STATE COMMUNITY COLLEGE-FAYETTE                                ,322,0,46,46,$414.00 
14002701,LURLEEN B. WALLACE COMMUNITY COLLEGE-ANDALUSIA                        ,322,1,103,104,$940.00 
14004001,ALABAMA SOUTHERN COMMUNITY COLLEGE-GILBERTOWN                         ,322,0,3,3,$27.00 
14501101,BISHOP STATE COMMUNITY COLLEGE                                        ,322,1,247,248,"$2,236.00 "
14909001,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE                                ,322,0,352,352,"$3,168.00 "
14914401,ENTERPRISE STATE COM COL - AL AVIATION CTR MOBILE                     ,322,0,31,31,$279.00 
14915401,GADSDEN STATE COMMUNITY COLLEGE-AYERS                                 ,322,0,138,138,"$1,242.00 "
14916401,LAWSON STATE COMMUNITY COLLEGE                                        ,322,3,248,251,"$2,271.00 "
14918401,JOHN C CALHOUN STATE COMMUNITY COLLEGE                                ,322,0,626,626,"$5,634.00 "
14919401,J F DRAKE STATE COMMUNITY AND TECHNICAL COLLEGE                       ,322,0,90,90,$810.00 
14921401,ALABAMA SOUTHERN COMMUNITY COLLEGE-THOMASVILLE                        ,322,0,34,34,$306.00 
14924401,BEVILL STATE COMMUNITY COLLEGE-HAMILTON                               ,322,0,31,31,$279.00 
14925401,CENTRAL ALABAMA COMMUNITY COLLEGE-CHILDERSBURG                        ,322,0,34,34,$306.00 
14927401,H COUNCILL TRENHOLM STATE COMMUNITY COLLEGE                           ,322,1,230,231,"$2,083.00 "
14928401,REID STATE TECHNICAL COLLEGE                                          ,322,0,21,21,$189.00 
14929401,SHELTON STATE COMMUNITY COLLEGE                                       ,322,0,350,350,"$3,150.00 "
14931401,GEORGE C WALLACE COMMUNITY COLLEGE-SPARKS CAMPUS-EUFAULA              ,322,1,33,34,$310.00 
14933401,BEVILL STATE COMMUNITY COLLEGE-SUMITON                                ,322,1,63,64,$580.00 
14934401,GEORGE C WALLACE COMMUNITY COLLEGE-DOTHAN                             ,322,3,370,373,"$3,369.00 "
14935401,GEORGE C WALLACE STATE COMMUNITY COLLEGE-HANCEVILLE                   ,322,1,263,264,"$2,380.00 "
14936401,GEORGE C WALLACE STATE COMMUNITY COLLEGE-SELMA                        ,322,0,68,68,$612.00 
14939401,NORTHWEST-SHOALS COMMUNITY COLLEGE                                    ,322,0,145,145,"$1,305.00 "
14943101,MARION MILITARY INSTITUTE                                             ,322,0,30,30,$270.00 
15032601,TUSCALOOSA LAW ENFORCEMENT ACADEMY                                    ,322,0,1,1,$9.00 
15061501,MARSHALL TECHINICAL SCHOOL TRUCK DRIVER TRAINING                      ,322,0,1,1,$9.00 
15078501,ALABAMA FIRE COLLEGE                                                  ,322,0,11,11,$99.00 
15883001,MOBILE POLICE ACADEMY                                                 ,322,0,4,4,$36.00 
17526201,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE-ADULT EDUCATION PROGRAM        ,322,0,2,2,$18.00 
17532501,ADULT LEARNING CTR                                                    ,322,0,4,4,$36.00 
18865001,HUNTSVILLE POLICE ACADEMY                                             ,322,0,2,2,$18.00 
18865901,MONTGOMERY POLICE ACADEMY                                             ,322,0,5,5,$45.00 
18870401,ALABAMA CRIMINAL JUSTICE TRAINING CENTER                              ,322,0,9,9,$81.00 
18872801,NORTHEAST ALABAMA LAW ENFORCEMENT ACADEMY                             ,322,0,9,9,$81.00 
21001401,BIRMINGHAM SCHOOL OF LAW                                              ,322,0,24,24,$216.00 
21011801,COLUMBIA SOUTHERN UNIVERSITY                                          ,322,0,1,1,$9.00 
21802301,VIRGINIA COLLEGE-BIRMINGHAM                                           ,322,0,649,649,"$5,841.00 "
21906001,MILES LAW SCHOOL                                                      ,322,0,3,3,$27.00 
21911801,COLUMBIA SOUTHERN UNIVERSITY                                          ,322,0,5062,5062,"$45,558.00 "
21952301,VIRGINIA COLLEGE-HUNTSVILLE                                           ,322,0,111,111,$999.00 
21952401,UNITED STATES SPORTS ACADEMY                                          ,322,0,42,42,$378.00 
21953101,VIRGINIA COLLEGE-MOBILE                                               ,322,0,55,55,$495.00 
21953501,ITT TECHNICAL INSTITUTE-BESSEMER                                      ,322,0,94,94,$846.00 
21954101,PRINCE INSTITUTE-SOUTHEAST                                            ,322,0,2,2,$18.00 
21956201,ITT TECHNICAL INSTITUTE-MOBILE                                        ,322,0,109,109,$981.00 
21956301,STRAYER UNIVERSITY-ALABAMA                                            ,322,0,34,34,$306.00 
21956401,UNIVERSITY OF PHOENIX-BIRMINGHAM CAMPUS                               ,322,0,20,20,$180.00 
21958101,VIRGINIA COLLEGE-MONTGOMERY                                           ,322,0,150,150,"$1,350.00 "
21958201,ITT TECHNICAL INSTITUTE-MADISON AL                                    ,322,0,86,86,$774.00 
21958301,STRAYER UNIVERSITY-HUNTSVILLE                                         ,322,0,46,46,$414.00 
21960101,BROWN MACKIE COLLEGE-BIRMINGHAM                                       ,322,0,64,64,$576.00 
22963601,"INSTITUTE OF ULTRASOUND DIAGNOSTICS, THE                              ",322,0,3,3,$27.00 
24004301,SOUTH UNIVERSITY-MONTGOMERY                                           ,322,0,198,198,"$1,782.00 "
24549401,FORTIS COLLEGE-MONTGOMERY                                             ,322,0,35,35,$315.00 
24946401,FORTIS COLLEGE-MOBILE                                                 ,322,0,17,17,$153.00 
24947401,FORTIS INSTITUTE-BIRMINGHAM                                           ,322,0,40,40,$360.00 
24948401,FORTIS COLLEGE MONTGOMERY-NURSING                                     ,322,0,22,22,$198.00 
25030301,FORTIS COLLEGE-FOLEY                                                  ,322,0,10,10,$90.00 
25030701,AMERICAN TRUCK DRIVING ACADEMY INC                                    ,322,0,7,7,$63.00 
25030901,BLUE CLIFF CAREER COLLEGE                                             ,322,0,10,10,$90.00 
25034001,ESD SCHOOL LLC                                                        ,322,0,11,11,$99.00 
25034101,ALABAMA BROKERS COUNCIL INSTITUTE                                     ,322,0,1,1,$9.00 
25034501,EUROPEAN SCHOOL OF ESTHETICS                                          ,322,0,2,2,$18.00 
25035501,FORTIS COLLEGE-DOTHAN                                                 ,322,0,25,25,$225.00 
25037501,MONTGOMERY SCHOOL OF BODYWORK & MASSAGE                               ,322,0,2,2,$18.00 
25039501,CARDIAC AND VASCULAR INSTITUTE OF ULTRASOUND                          ,322,0,3,3,$27.00 
25040501,SAINT JOHNS SCHOOL OF ESTHETICS                                       ,322,0,2,2,$18.00 
25041501,MADISON SCHOOL OF MASSAGE THERAPY                                     ,322,0,1,1,$9.00 
25047501,AMERICAN CONSTRUCTION TRAINING                                        ,322,0,1,1,$9.00 
25048501,AFFORDABLE TRUCK DRIVER TRAINING                                      ,322,0,8,8,$72.00 
25049501,Z-PROJECT DEVELOPMENT SYSTEMS INC                                     ,322,0,1,1,$9.00 
25050501,PREMIERE DRIVING ACADEMY                                              ,322,0,21,21,$189.00 
25053501,WINONAH INTERNATIONAL SCHOOL OF COSMETOLOGY                           ,322,0,5,5,$45.00 
25058501,"NEW HORIZONS COMPUTER LEARNING CENTERS - B'HAM, ALABAMA               ",322,0,48,48,$432.00 
25061501,PAUL MITCHELL: THE SCHOOL BIRMINGHAM                                  ,322,0,1,1,$9.00 
25063501,ALLIED CAREER TRAINING                                                ,322,0,244,244,"$2,196.00 "
25069501,HAIR ACADEMY                                                          ,322,0,3,3,$27.00 
25075501,THE SALON PROFESSIONAL ACADEMY-HUNTSVILLE                             ,322,0,4,4,$36.00 
25076501,BIRMINGHAM SCHOOL OF MASSAGE                                          ,322,0,4,4,$36.00 
25080501,SEA SCHOOL MOBILE INC                                                 ,322,0,35,35,$315.00 
25080601,SUCCESS UNLIMITED ACADEMY                                             ,322,0,1,1,$9.00 
25080801,"ARC PRO,INC-PIPE WELDING SCHOOL                                       ",322,0,12,12,$108.00 
25080901,AVEDA INSTITUTE BIRMINGHAM                                            ,322,0,3,3,$27.00 
25884101,HUNTSVILLE HOSPITAL OF SURGICAL TECHNOLOGY                            ,322,0,1,1,$9.00 
26118201,TRUCK DRIVER INSTITUTE INC-OXFORD                                     ,322,0,33,33,$297.00 
28027701,RAY'S UNIVERSITY OF BEAUTY INC                                        ,322,0,2,2,$18.00 
28861901,PAUL MITCHELL SCHOOL-FORMERLY SCIENTIFIC ACADEMY OF BEAUTY CULTURE    ,322,0,4,4,$36.00 
28878401,ALABAMA STATE COLLEGE OF BARBER STYLING                               ,322,0,3,3,$27.00 
28880001,LOOKOUT MOUNTAIN SCHOOL OF HORSESHOEING                               ,322,0,2,2,$18.00 
31000401,BIRMINGHAM SOUTHERN COLLEGE                                           ,322,0,45,45,$405.00 
31000501,SAMFORD UNIVERSITY                                                    ,322,0,109,109,$981.00 
31000601,HUNTINGDON COLLEGE                                                    ,322,0,77,77,$693.00 
31000701,JUDSON COLLEGE                                                        ,322,0,13,13,$117.00 
31000801,SPRING HILL COLLEGE                                                   ,322,0,61,61,$549.00 
31001001,MILES COLLEGE                                                         ,322,1,55,56,$508.00 
31001201,TALLADEGA COLLEGE                                                     ,322,0,19,19,$171.00 
31001301,SOUTHEASTERN BIBLE COLLEGE                                            ,322,0,18,18,$162.00 
31001401,UNIVERSITY OF MOBILE                                                  ,322,0,89,89,$801.00 
31002101,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-FT RUCKER                        ,322,1,66,67,$607.00 
31002201,HERITAGE CHRISTIAN UNIVERSTIY                                         ,322,0,4,4,$36.00 
31003201,FLORIDA INSTITUTE OF TECHNICAL-GRAD CENTER                            ,322,0,105,105,$945.00 
31003601,STILLMAN COLLEGE                                                      ,322,0,32,32,$288.00 
31011601,BIRMINGHAM-EASONIAN BAPTIST BIBLE COLLEGE                             ,322,0,4,4,$36.00 
31011901,NEW ORLEANS BAPTIST BIBLE THEOLOGICAL SEMINARY                        ,322,0,3,3,$27.00 
31012001,HUNTSVILLE BIBLE COLLEGE                                              ,322,0,9,9,$81.00 
31012201,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE                               ,322,0,5,5,$45.00 
31800101,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-MOBILE                           ,322,0,10,10,$90.00 
31802501,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-REDSTONE ARSENAL                 ,322,0,104,104,$936.00 
31902201,OAKWOOD UNIVERSITY                                                    ,322,0,51,51,$459.00 
31903101,TUSKEGEE UNIVERSITY                                                   ,322,0,106,106,$954.00 
31904401,AMRIDGE UNIVERSITY                                                    ,322,0,70,70,$630.00 
31905801,BIRMINGHAM THEOLOGICAL SEMINARY                                       ,322,0,3,3,$27.00 
31953401,FAULKNER UNIVERSITY-MONTGOMERY                                        ,322,0,226,226,"$2,034.00 "
31955101,SELMA UNIVERSITY                                                      ,322,0,9,9,$81.00 
31959201,EDWARD VIA COLLEGE OF OSTEOPATHIC MEDICINE                            ,322,0,2,2,$18.00 
31959301,HERZING UNIVERSITY-BIRMINGHAM                                         ,322,0,9,9,$81.00 
32961101,HUNTSVILLE HOSPITAL-SCH OF RAD TECH                                   ,322,0,2,2,$18.00 
34802101,FAULKNER UNIVERSITY-BIRMINGHAM                                        ,322,0,7,7,$63.00 
34802301,FAULKNER UNIVERSITY-HUNTSVILLE                                        ,322,0,9,9,$81.00 
34802401,FAULKNER UNIVERSITY-MOBILE                                            ,322,0,19,19,$171.00 
34907101,CONCORDIA COLLEGE ALABAMA                                             ,322,0,14,14,$126.00 
34907201,REMINGTON COLLEGE-MOBILE CAMPUS                                       ,322,0,41,41,$369.00 
