Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
35P12338,Premier Barber Institute,Pennsylvania,, 3 ,Private non-profit,School Tuition & Fees,"$40,770.00", 3 
349H9635,Lakewood College,Ohio,, 37 ,Private non-profit,School Tuition & Fees,"$198,184.81", 49 
349E8443,Commonwealth Institute Of Funeral Service,Texas,, 6 ,Private non-profit,School Tuition & Fees,"$32,187.40", 14 
349E4435,Ohio College Of Massotherapy Inc,Ohio,, 3 ,Private non-profit,School Tuition & Fees,"$24,738.00", 10 
349E1410,Wyotech-Daytona,Florida,, 193 ,Private non-profit,School Tuition & Fees,"$2,761,134.37", 682 
349D2438,Manor College,Pennsylvania,, 17 ,Private non-profit,School Tuition & Fees,"$191,156.87", 34 
349C9438,Rosedale Technical Institute,Pennsylvania,, 62 ,Private non-profit,School Tuition & Fees,"$591,148.45", 106 
349C7443,Dallas Institute Of Funeral Service,Texas,, 9 ,Private non-profit,School Tuition & Fees,"$87,033.75", 28 
349C4438,Wyotech-Blairsville,Pennsylvania,, 9 ,Private non-profit,School Tuition & Fees,"$44,533.15", 12 
349B7410,Health Career Institute,Florida,, 38 ,Private non-profit,School Tuition & Fees,"$167,768.22", 62 
32A01132,Finger Lakes Health College Of Nursing,New York,, 3 ,Private non-profit,School Tuition & Fees,"$14,964.00", 4 
32A01032,Montefiore Medical Center,New York,, 1 ,Private non-profit,School Tuition & Fees,"$20,235.02", 1 
32A00832,Crouse Hospital College Of Nursing,New York,, 2 ,Private non-profit,School Tuition & Fees,"$7,931.97", 5 
329D7243,Baptist Health Sys Sch Of Health Prof,Texas,, 1 ,Private non-profit,School Tuition & Fees,"$1,540.00", 1 
31P40138,Lancaster Bible College Center For Urban Theological Studies,Pennsylvania,, 1 ,Private non-profit,School Tuition & Fees,"$9,256.00", 5 
31P32139,Johnson And Wales University Graduate School,Rhodes Island,, 2 ,Private non-profit,School Tuition & Fees,"$23,952.00", 2 
319Z1138,Widener University-Main Campus,Pennsylvania,, 62 ,Private non-profit,School Tuition & Fees,"$511,041.75", 127 
319M1143,St. Edward'S University,Texas,, 151 ,Private non-profit,School Tuition & Fees,"$1,872,444.13", 371 
319K9143,Parker University,Texas,, 55 ,Private non-profit,School Tuition & Fees,"$759,636.85", 173 
319K3143,Austin Presbyterian Theological Seminary,Texas,, 3 ,Private non-profit,School Tuition & Fees,"$26,811.00", 8 
319K2143,Embry-Riddle Aeronautical University-Nas Corpus Christi,Texas,, 85 ,Private non-profit,School Tuition & Fees,"$386,822.00", 218 
319H7143,Our Lady Of The Lake University,Texas,, 214 ,Private non-profit,School Tuition & Fees,"$1,851,336.22", 441 
319H2143,Howard Payne University,Texas,, 52 ,Private non-profit,School Tuition & Fees,"$500,906.40", 72 
319G4143,Southern Methodist University-Dallas,Texas,, 189 ,Private non-profit,School Tuition & Fees,"$2,840,152.02", 317 
319F9443,Dallas Christian College,Texas,, 14 ,Private non-profit,School Tuition & Fees,"$93,037.22", 58 
319F7243,Criswell College,Texas,, 13 ,Private non-profit,School Tuition & Fees,"$70,212.50", 24 
319F1143,Southwestern Baptist Theological Seminary,Texas,, 90 ,Private non-profit,School Tuition & Fees,"$419,769.13", 191 
319E7143,Baylor College Of Medicine,Texas,, 5 ,Private non-profit,School Tuition & Fees,"$67,481.65", 7 
319E5143,Southwestern Adventist University,Texas,, 20 ,Private non-profit,School Tuition & Fees,"$247,346.21", 30 
319D4132,Keuka College,New York,, 52 ,Private non-profit,School Tuition & Fees,"$421,993.93", 168 
319D3132,Polytechnic Institute Of New York University,New York,, 18 ,Private non-profit,School Tuition & Fees,"$224,705.34", 28 
319D2132,Metropolitan College Of New York,New York,, 87 ,Private non-profit,School Tuition & Fees,"$1,095,911.72", 165 
319D1132,The New School,New York,, 63 ,Private non-profit,School Tuition & Fees,"$1,030,432.62", 90 
319D0132,Ithaca College,New York,, 30 ,Private non-profit,School Tuition & Fees,"$246,613.73", 31 
319C9132,Paul Smiths College Of Arts And Science,New York,, 52 ,Private non-profit,School Tuition & Fees,"$650,777.51", 109 
319C8132,The Sage Colleges,New York,, 37 ,Private non-profit,School Tuition & Fees,"$447,576.39", 66 
319C6132,Manhattan School Of Music,New York,, 1 ,Private non-profit,School Tuition & Fees,"$20,235.02", 2 
319C5132,Marymount Manhattan College,New York,, 28 ,Private non-profit,School Tuition & Fees,"$287,100.71", 45 
319C4132,New York College Of Health Professions,New York,, 12 ,Private non-profit,School Tuition & Fees,"$87,858.39", 22 
319C3132,Mount Saint Mary College,New York,, 102 ,Private non-profit,School Tuition & Fees,"$935,835.64", 399 
319C2132,Wagner College,New York,, 10 ,Private non-profit,School Tuition & Fees,"$127,129.16", 15 
319B8132,College Of Mount Saint Vincent,New York,, 7 ,Private non-profit,School Tuition & Fees,"$73,562.35", 11 
319B6132,Canisius College,New York,, 106 ,Private non-profit,School Tuition & Fees,"$1,284,172.69", 202 
319B5132,New York Medical College,New York,, 11 ,Private non-profit,School Tuition & Fees,"$158,148.06", 25 
319B4143,Southwestern Christian College,Texas,, 2 ,Private non-profit,School Tuition & Fees,"$5,277.00", 2 
319B2138,Saint Joseph'S University,Pennsylvania,, 107 ,Private non-profit,School Tuition & Fees,"$943,880.90", 328 
319B2110,Trinity College Of Florida,Florida,, 17 ,Private non-profit,School Tuition & Fees,"$127,158.35", 68 
319A8138,York College Of Pennsylvania,Pennsylvania,, 77 ,Private non-profit,School Tuition & Fees,"$670,964.72", 109 
319A7138,Pennsylvania College Of Art And Design,Pennsylvania,, 5 ,Private non-profit,School Tuition & Fees,"$76,840.08", 8 
319A6138,Point Park University,Pennsylvania,, 151 ,Private non-profit,School Tuition & Fees,"$1,805,476.10", 332 
319A5138,Pennsylvania Academy Of The Fine Arts,Pennsylvania,, 3 ,Private non-profit,School Tuition & Fees,"$37,653.65", 5 
319A4138,Chestnut Hill College,Pennsylvania,, 45 ,Private non-profit,School Tuition & Fees,"$370,496.36", 90 
319A3138,Keystone College,Pennsylvania,, 32 ,Private non-profit,School Tuition & Fees,"$278,897.80", 67 
319A2138,Evangelical Theological Seminary,Pennsylvania,, 3 ,Private non-profit,School Tuition & Fees,"$22,074.50", 6 
319A2110,New Orleans Baptist Theological Seminary-Orlando,Florida,, 8 ,Private non-profit,School Tuition & Fees,"$7,904.57", 8 
319A0138,Peirce College,Pennsylvania,, 77 ,Private non-profit,School Tuition & Fees,"$628,039.91", 249 
318Z0032,New York Institute Of Technology,New York,, 90 ,Private non-profit,School Tuition & Fees,"$1,296,705.81", 157 
25P84338,Empire Beauty School-Springfield,Pennsylvania,, 3 ,Private profit,School Tuition & Fees,"$20,160.86", 5 
25P42538,Aaa School Of Trucking-Harrisburg,Pennsylvania,, 8 ,Private profit,School Tuition & Fees,"$38,828.07", 8 
25P32138,Lititz Watch Technicum,Pennsylvania,, 5 ,Private profit,School Tuition & Fees,"$7,913.06", 8 
