System Name,Postsecondary Education Complaint System,,,,,,,,,,,,
Report Title,Complaint Cases Summary,,,,,,,,,,,,
Report Date,03/30/2016,,,,,,,,,,,,
,,,,,,,,,,,,,
Date Range (min),01/01/2014,,,,,,,,,,,,
Date Range (max),03/30/2016,,,,,,,,,,,,
 ,,,,,,,,,,,,,
Case ID,Level,Status,Case Owner,School,OPEID,Facility Code,School City,School State,Submitted,Closed,Closed Reason,Issues,Education Benefits
VA1074,Level 3,Closed,"Holbrook, Robert",ROSE STATE COLLEGE,00918500,14927436,MIDWEST CITY,OK,1/30/14,3/24/14,Resolved, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1075,Level 3,Closed,"Holbrook, Robert",UNIVERSITY OF PHOENIX LITTLE ROCK,12098848,21005604,LITTLE ROCK,AR,1/30/14,2/11/14,Invalid, Financial Issues (e.g. Tuition/Fee charges), Post-9/11 GI Bill (Ch. 33)
VA1076,Level 3,Closed,"Holbrook, Robert",AMERICAN UNIVERSITY OFFICE OF VETERANS AFFAIRS,00143400,31106109,WASHINGTON,DC,1/30/14,3/24/14,Resolved, Transfer of Credits, Post-9/11 GI Bill (Ch. 33)
VA1078,Level 3,Closed,"Holbrook, Robert",AUSTIN PEAY STATE UNIVERSITY - FT CAMPBELL CENTER,00347800,11880142,CLARKSVILLE,TN,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1079,Level 3,Closed,"Holbrook, Robert",SEMINOLE STATE COLLEGE OF FLORIDA,00152000,119C0110,SANFORD,FL,1/30/14,2/11/14,Invalid, Other, Post-9/11 GI Bill (Ch. 33)
VA1080,Level 3,Closed,"Holbrook, Robert",LAB FOUR CAREER TRAINING INSTITUTE,,25026842,MEMPHIS,TN,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1081,Level 3,Closed,"Holbrook, Robert",SULLIVAN AND COGLIANO TRAINING CENTERS INC.,,25048821,Brockton,MA,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1082,Level 3,Closed,"Holbrook, Robert",SECURITY UNIVERSITY,,25833046,HERNDON,VA,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1083,Level 3,Closed,"Holbrook, Robert",COMPUTER TRAINING INSTITUTE OF CHICAGO,,25071713,CHICAGO,IL,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
VA1084,Level 3,Closed,"Holbrook, Robert",BECOME NEW BEAUTY INSTITUTE & SALON - WITHDRAWN EFFECTIVE 09/18/2012,,25040746,RICHMOND,VA,1/30/14,9/30/14,Information Only," Recruiting/Marketing Practices, Other"," Veterans Retraining Assistance Program (VRAP), Post-9/11 GI Bill (Ch. 33), Montgomery GI Bill - Active Duty (MGIB) (Ch. 30), Montgomery GI Bill - Selected Reserve (MGIB-SR) (Ch. 1606), Reserve Educational Assistance Program (REAP) (Ch. 1607), Survivors &amp; Dependents Assistance  (DEA) (Ch. 35), Vocational Rehabilitation and Employment (VR&amp;E) (Ch. 31)"
