Institutions on HCM1 or HCM2 as of 12-1-2015,,,,,,,
Source: PEPS,,,,,,,
OPE ID,Institution Name,City,State,Country,Institution Type,Stop Pay/Monitor Method,Method Reason Desc
00884300,Alaska Bible College,Palmer,AK,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
00100500,Alabama State University,Montgomery,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00100700,Central Alabama Community College,Alexander City,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00101300,Calhoun Community College,Tanner,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00101600,University of North Alabama,Florence,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00102400,University of West Alabama,Livingston,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00102600,Marion Military Institute,Marion,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00105900,Lawson State Community College,Birmingham,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
00569900,George Corley Wallace State Community College - Selma,Selma,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
02341000,Fortis College,Mobile,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03010600,Virginia College,Birmingham,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03361400,Fortis College,Foley,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
04187300,Hair Academy (The),Montgomery,AL,,Proprietary,HCM - Cash Monitoring 1,Audit Late/Missing
00108700,Arkansas Baptist College,Little Rock,AR,,"Private, Nonprofit",HCM - Cash Monitoring 2,Administrative Capability
00108800,Lyon College,Batesville,AR,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
02330800,JRMC School of Nursing,Pine Bluff,AR,,"Private, Nonprofit",HCM - Cash Monitoring 2,Audit - Severe Findings
03065100,ABC Beauty College,Arkadelphia,AR,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
00446700,Tucson College,Tucson,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
02199900,American Indian College,Phoenix,AZ,,"Private, Nonprofit",HCM - Cash Monitoring 2,Accreditation Problems
02616700,Le Cordon Bleu College of Culinary Arts,Scottsdale,AZ,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
03097800,Carsten Institute of Cosmetology,Tempe,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
03120300,CollegeAmerica - Flagstaff,Flagstaff,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
