Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Tuition and Fees Cost,Number of payments
XXXXXXXX,Unknown,,UNKNOWN,"5,130",Unknown,School Tuition & Fees,"$27,264,756.60","11,948"
35P12338,Premier Barber Institute Aka The West Chester School Of Barbering,Pennsylvania,,1,Private non-profit,School Tuition & Fees,"$13,432.50",1
349H9635,Lakewood College,Ohio,,34,Private non-profit,School Tuition & Fees,"$135,382.85",47
349E8443,Commonwealth Inst Of Funeral Svc,Texas,,5,Private non-profit,School Tuition & Fees,"$13,470.00",6
349E4435,Ohio College Of Massotherapy,Ohio,,1,Private non-profit,School Tuition & Fees,"$1,903.50",1
349D2438,Manor College,Pennsylvania,,17,Private non-profit,School Tuition & Fees,"$177,292.56",35
349C9438,Rosedale Technical Institute Inc,Pennsylvania,,60,Private non-profit,School Tuition & Fees,"$639,336.36",125
349C7443,Dallas Institute Of Funeral Service,Texas,,9,Private non-profit,School Tuition & Fees,"$67,711.93",23
349B7410,Health Career Institute,Florida,,9,Private non-profit,School Tuition & Fees,"$51,375.00",20
32A01132,Finger Lakes Health College Of Nursing (Geneva General Hospital),New York,,4,Private non-profit,School Tuition & Fees,"$30,878.31",8
32A01032,Montefiore Medical Center,New York,,1,Private non-profit,School Tuition & Fees,"$19,198.31",1
32A00832,Crouse Hospital College Of Nursing,New York,,3,Private non-profit,School Tuition & Fees,"$19,712.00",5
31P32139,Johnson And Wales University Graduate School,Rhodes Island,,1,Private non-profit,School Tuition & Fees,"$9,288.00",1
319Z1138,Widener University,Pennsylvania,,53,Private non-profit,School Tuition & Fees,"$581,992.82",91
319M1143,St Edwards University,Texas,,159,Private non-profit,School Tuition & Fees,"$2,616,164.16",490
319K9143,Parker University,Texas,,45,Private non-profit,School Tuition & Fees,"$499,725.56",76
319K3143,Austin Presbyterian Theo Seminary,Texas,,6,Private non-profit,School Tuition & Fees,"$38,786.00",13
319K2143,Embry Riddle Aeronautical Univ Corpus Christi,Texas,,104,Private non-profit,School Tuition & Fees,"$415,688.00",247
319H7143,Our Lady Of The Lake University,Texas,,222,Private non-profit,School Tuition & Fees,"$2,277,533.25",430
