Facility Code,Name of Institution,State,Country,Number of Trainees,Profit Status,Type of Payment,Total Cost,Number of payments
XXXXXXXX,Unknown,,UNKNOWN,2,Unknown,Yellow Ribbon,"$513,036.01",592
319Z1138,Widener University,Pennsylvania,,13,Private non-profit,Yellow Ribbon,"$114,281.14",34
319M1143,St Edwards University,Texas,,55,Private non-profit,Yellow Ribbon,"$155,811.05",82
319K9143,Parker University,Texas,,10,Private non-profit,Yellow Ribbon,"$42,512.34",13
319H7143,Our Lady Of The Lake University,Texas,,23,Private non-profit,Yellow Ribbon,"$55,651.70",23
319H2143,Howard Payne University,Texas,,6,Private non-profit,Yellow Ribbon,"$12,818.52",6
319G4143,Southern Methodist University,Texas,,99,Private non-profit,Yellow Ribbon,"$841,381.70",219
319D4132,Keuka College,New York,,6,Private non-profit,Yellow Ribbon,"$23,780.04",6
319D3132,New York University Polytechnic School Of Engineering,New York,,29,Private non-profit,Yellow Ribbon,"$186,648.02",46
319D2132,Metropolitan College Of New York,New York,,29,Private non-profit,Yellow Ribbon,"$108,772.16",37
319D1132,The New School,New York,,27,Private non-profit,Yellow Ribbon,"$174,636.14",46
319D0132,Ithaca College,New York,,33,Private non-profit,Yellow Ribbon,"$246,918.34",48
319C9132,Paul Smith'S College,New York,,19,Private non-profit,Yellow Ribbon,"$51,469.19",28
319C5132,Marymount Manhattan College,New York,,5,Private non-profit,Yellow Ribbon,"$7,242.50",8
319C3132,Mount Saint Mary College,New York,,15,Private non-profit,Yellow Ribbon,"$31,675.90",21
319C2132,Wagner College,New York,,9,Private non-profit,Yellow Ribbon,"$48,184.80",11
319B8132,College Of Mount Saint Vincent,New York,,2,Private non-profit,Yellow Ribbon,"$11,391.70",2
319B6132,Canisius College,New York,,20,Private non-profit,Yellow Ribbon,"$75,053.91",33
319B5132,New York Medical College,New York,,1,Private non-profit,Yellow Ribbon,"$1,000.00",1
319B2138,Saint Joseph'S University,Pennsylvania,,5,Private non-profit,Yellow Ribbon,"$11,000.50",6
319A8138,York College Of Pennsylvania,Pennsylvania,,9,Private non-profit,Yellow Ribbon,"$6,764.82",14
319A6138,Point Park University,Pennsylvania,,42,Private non-profit,Yellow Ribbon,"$107,774.70",75
319A4138,Chestnut Hill College,Pennsylvania,,8,Private non-profit,Yellow Ribbon,"$32,281.25",9
319A0138,Peirce College,Pennsylvania,,6,Private non-profit,Yellow Ribbon,"$6,387.10",7
318Z0032,New York Institute Of Technology - New York City,New York,,23,Private non-profit,Yellow Ribbon,"$73,509.91",23
24P32238,Itt Technical Institute Philadelphia,Pennsylvania,,5,Private profit,Yellow Ribbon,"$10,513.98",5
249M3443,Culinary Inst Of Amer San Antonio,Texas,,14,Private profit,Yellow Ribbon,"$58,659.43",14
249L7143,Sanford Brown College Dallas,Texas,,5,Private profit,Yellow Ribbon,"$5,554.42",5
249K0143,Career Point College,Texas,,30,Private profit,Yellow Ribbon,"$76,075.88",43
249J8143,Vet Tech Institute Of Houston,Texas,,3,Private profit,Yellow Ribbon,"$2,988.75",3
249G8435,Sanford Brown College - Middleburg Heights,Ohio,,3,Private profit,Yellow Ribbon,"$6,354.53",7
249G7435,Daymar College,Ohio,,3,Private profit,Yellow Ribbon,"$4,824.37",3
249G6143,Le Cordon Bleu College Of Culinary Arts-Austin,Texas,,18,Private profit,Yellow Ribbon,"$19,076.66",19
249G2435,National College-Kettering,Ohio,,1,Private profit,Yellow Ribbon,"$2,012.67",2
249F1435,Vatterott College - Broadview Heights,Ohio,,3,Private profit,Yellow Ribbon,"$3,992.54",4
