dapipid,agencyid,agencyname,programid,programname,sequentialid,actiondescription,actiondate,justificationdescription,justificationother,enddate
100502,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Accreditation Reaffirmed: Probation Removed,,Is in compliance with all of the agency's accreditation standards,,
101745,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Probation or Equivalent or a More Severe Status: Probation,,Significantly out of compliance - student achievement,,
108108,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
111337,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
112172,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
113139,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
114071,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Additional oversight is required to ensure a resolution of compliance issues,,
115092,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
115542,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Initial Accreditation,,Is in compliance with all of the agency's accreditation standards,,
117724,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
122445,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
123855,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
124618,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Probation or Equivalent or a More Severe Status: Probation,,Significantly out of compliance - student achievement,,
128629,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
130253,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
133872,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Grant Substantive Change: Degree,,Is in compliance with all of the agency's accreditation standards,,
134583,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
135212,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
135212,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
136507,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Loss of Accreditation or Preaccreditation: Voluntary Withdrawal,,Other - Provide unlisted or multiple justifications,Program's Teach out plan accepted,
139986,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
140997,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
140997,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Grant Substantive Change: Other,,Is in compliance with all of the agency's accreditation standards,,
141316,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
146375,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
147280,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
150400,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
151582,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Probation or Equivalent or a More Severe Status: Probation,,Additional oversight is required to ensure a resolution of compliance issues,,
151652,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
192749,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
109712006,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",23,Dietetics (DIET) - Coordinated Program in Dietetics,1,Renewal of Accreditation,,Has satisfactorily addressed all compliance concerns from previous actions,,
103024002,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
101019004,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
116970004,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
120801015,27,"ACADEMY OF NUTRITION AND DIETETICS, ACCREDITATION COUNCIL FOR EDUCATION IN NUTRITION AND DIETETICS",24,Dietetics (DIETI) - Dietetic Internship,1,Renewal of Accreditation,,Is in compliance with all of the agency's accreditation standards,,
