facility no.,school name,total paid,count of adv pay students,count of reg students,total count of students
25075613,160 DRIVING ACADEMY,180,0,12,12
25079213,160 DRIVING ACADEMY,105,0,7,7
25081713,160 DRIVING ACADEMY,45,0,3,3
25058813,160 DRIVING ACADEMY-AURORA,30,0,2,2
25058713,160 DRIVING ACADEMY-BENSENVILLE,15,0,1,1
25077913,160 DRIVING ACADEMY-MOLINE,15,0,1,1
25110643,360 DEGREES BEAUTY ACADEMY,15,0,1,1
25833407,A B TRAINING CENTER LLC,150,0,10,10
25106431,A BETTER U BEAUTY BARBER ACADEMY,135,0,9,9
25119343,A CAREER IN EDUCATION-ACP,105,0,7,7
25091743,A CAREER IN TEACHING-ACP,30,0,2,2
28011702,A HEAD OF TIME DESIGN ACADEMY,105,0,7,7
25063843,A NEW BEGINNING SCHL OF MASS-AUSTIN,60,0,4,4
25119243,A NEW BEGINNING SCHL OF MASS-KILLEEN,285,0,19,19
25P12338,A RISING SUN BEAUTY SCHOOL,90,0,6,6
31200725,A T STILL UNIVERSITY KIRKSVILLE COLLEGE OF OSTEOPATHIC MEDICINE,105,0,7,7
31127525,A T STILL UNIVERSITY MISSOURI SCHOOL OF DENTAL AND ORAL HEALTH,15,0,1,1
31005303,A T STILL UNIVERSITY OF HEALTH SCIENCES,330,0,22,22
31006203,A T STILL UNIVERSITY OF HEALTH SCIENCES,75,0,5,5
31005903,A T STILL UNIVERSITY OF HEALTH SCIENCES,45,0,3,3
31126225,A T STILL UNIVERSITY OF HEALTH SCIENCES COLLEGE OF GRADUATE STUDIES,855,0,57,57
25456647,A TO Z COMPUTER OFFICE TRAINING,60,0,4,4
21038443,A+ TEXAS TEACHERS-SAN ANTONIO,120,0,8,8
25062646,AAA CDL SCHOOL,75,0,5,5
25153410,AAA CONSTRUCTION SCHOOL INC,15,0,1,1
25P42538,AAA SCHOOL OF TRUCKING-HARRISBURG,60,0,4,4
25314038,AAA SCHOOL OF TRUCKING-PHILADELPHIA,105,0,7,7
11200978,AALTO UNIVERSITY,15,0,1,1
14908426,AANIIIH NAKODA COLLEGE,45,0,3,3
11002178,AARHUS UNIVERSITY,15,0,1,1
35027742,AARON ACADEMY,15,0,1,1
31116178,AB YRKESHOGSKOLAN VID ABO AKADEMI,15,0,1,1
15008505,ABC ADULT EDUCATION CENTER,45,0,3,3
