case id,level,status,case owner,school,opeid,facility code,school city,school state,submitted,closed,closed reason,issues,education benefits
VA12595,Level 3,closed,Tameika Tiller,UNIVERSAL K9,,35143143,,TX,,,no response,,Post-9/11 Ch 33
VA12581,Level 3,closed,Tameika Tiller,"UNIVERSAL K9 - SAN ANTONIO, TEXAS",,35143143,,TX,,,no response,,Post-9/11 Ch 33
VA17246,Level 3,closed,James Lyles,UNIVERSITY OF SOUTHERN CALIFORNIA,"""00132800""",31505105,,CA,,,resolved,,Post-9/11 Ch 33
VA16003,Level 3,closed,James Lyles,,"""00205400""",11800219,,ME,,,resolved,,Post-9/11 Ch 33
VA14900,Level 3,closed,James Lyles,,"""00205400""",11800219,,ME,,,no response,,Post-9/11 Ch 33
VA12838,Level 3,closed,James Lyles,,"""00205400""",11800219,,ME,,,resolved,,Post-9/11 Ch 33
VA14916,Level 3,closed,James Lyles,SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,"""00175800""",11000608,,,,,no response,,MGIB-AD Ch 30
,No Escalation Needed,closed,James Lyles,EUROPEAN SCHOOL OF ECONOMICS,,21800384,"50123 FLORENCE, Italy",,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,EICAR-THE INTL FILM SCH OF PARIS,,31000279,92314 LA PLAINE SAINT DENIS,,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNITED STATES K9 UNLIMITED,,25065618,Abbeville,LA,,,no response,,Post-9/11 Ch 33;MGIB-AD Ch 30
VA11936,Level 3,closed,James Lyles,NEECEE'S COLLEGE OF COSMETOLOGY,,25129943,ABILENE,TX,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND GLOBAL CAMPUS,,11801720,ADELPHI,MD,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND GLOBAL CAMPUS,,11801720,ADELPHI,MD,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,,11801720,ADELPHI,MD,,,resolved,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,,11801720,ADELPHI,MD,,,resolved,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF MARYLAND UNIVERSITY COLLEGE,,11801720,ADELPHI,MD,,,no response,,Post-9/11 Ch 33
VA11852,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,resolved,,Post-9/11 Ch 33
VA11650,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA21286,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA17234,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA17223,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA17220,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA12774,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,"""01164400""",11801720,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA17238,Level 3,closed,James Lyles,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE-EUROPEAN DIVISION,"""01164400""",11800120,Adelphi,MD,,,no response,,Post-9/11 Ch 33
VA21289,Level 3,closed,James Lyles,AIKEN TECHNICAL COLLEGE,"""01005600""",14938440,AIKEN,SC,,,no response,,"TATU, Post-9/11 Ch 33"
VA16044,Level 3,closed,James Lyles,AIKEN TECHNICAL COLLEGE,"""01005600""",14938440,AIKEN,SC,,,no response,,Post-9/11 Ch 33
VA11744,Level 3,closed,James Lyles,EXCELSIOR COLLEGE,"""00283400""",31905132,ALBANY,NY,,,no response,,Post-9/11 Ch 33
VA15999,Level 3,closed,James Lyles,EXCELSIOR COLLEGE,"""00283400""",31905132,ALBANY,FL,,,no response,,"Post-9/11 Ch 33, MGIB-AD Ch 30"
VA12620,Level 3,closed,James Lyles,EXCELSIOR COLLEGE,"""00283400""",31905132,ALBANY,NY,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,EXCELSIOR COLLEGE,,31905132,ALBANY,NY,,,resolved,,Post-9/11 Ch 33;MGIB-AD Ch 30
,No Escalation Needed,closed,James Lyles,BRYANT & STRATTON COLLEGE-ALBANY,,21800932,ALBANY,NY,,,resolved,,Post-9/11 Ch 33
VA11666,Level 3,closed,James Lyles,ALBANY TECHNICAL COLLEGE,"""00560100""",14905411,Albany,GA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,SOUTHSIDE VIRGINIA COMMUNITY COLLEGE,,14914446,ALBERTA,VA,,,no response,,DEA Ch 35
VA12357,Level 3,closed,James Lyles,UNIVERSITY OF NEW MEXICO,"""00266300""",11800131,ALBUQUERQUE,NM,,,resolved,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNIVERSITY OF PHOENIX-ALBUQUERQUE CAMPUS,,21911131,ALBUQUERQUE,NM,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,CENTRAL NEW MEXICO COMMUNITY COLLEGE,,14903431,ALBUQUERQUE,NM,,,resolved,,Post-9/11 Ch 33;post9::11 ch 33
VA11630,Level 3,closed,James Lyles,NORTHERN VIRGINIA COMMUNITY COLLEGE-ALEXANDRIA,"""00372700""",14930446,ALEXANDRIA,VA,,,resolved,,Post-9/11 Ch 33
VA12772,Level 3,closed,James Lyles,NORTHERN VIRGINIA COMMUNITY COLLEGE-ALEXANDRIA,"""00372700""",14930446,ALEXANDRIA,VA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,Tameika Tiller,SPECTRUM BEAUTY ACADEMY LLC,,25043046,ALEXANDRIA,VA,,,no response,,Post-9/11 Ch 33
VA12061,Level 3,closed,James Lyles,SOKA UNIVERSITY OF AMERICA,"""03814400""",31010505,ALISO VIEJO,CA,,,no response,,DEA Ch 35
VA11842,Level 3,closed,James Lyles,GRAND VALLEY STATE UNIVERSITY,"""00226800""",11001222,ALLENDALE,MI,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,NORTHWESTERN OKLAHOMA STATE UNIVERSITY,,11001936,ALVA,OK,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,INTERCOAST COLLEGES-ANAHEIM,,24006605,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33;TATU;REAP
VA17180,Level 3,closed,James Lyles,SOUTHERN CALIFORNIA INSTITUTE OF TECHNOLOGY,"""03113600""",21960105,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33
,No Escalation Needed,closed,James Lyles,UNITED EDUCATION INSTITUTE-ANAHEIM,,25173005,ANAHEIM,CA,,,no response,,Post-9/11 Ch 33
