ope id,institution name,city,state,country,institution type,stop pay/monitor method,method reason desc
"""00100500""",ALABAMA STATE UNIVERSITY,Montgomery,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00100700""",CENTRAL ALABAMA COMMUNITY COLLEGE,Alexander City,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00101300""",CALHOUN COMMUNITY COLLEGE,Tanner,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00101600""",UNIVERSITY OF NORTH ALABAMA,Florence,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00102400""",UNIVERSITY OF WEST ALABAMA,Livingston,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00102600""",MARION MILITARY INSTITUTE,Marion,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00105000""",TUSKEGEE UNIVERSITY,Tuskegee Institute,AL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Audit Late/Missing
"""00105900""",LAWSON STATE COMMUNITY COLLEGE,Birmingham,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00108700""",ARKANSAS BAPTIST COLLEGE,Little Rock,AR,,"Private, Nonprofit",HCM - Cash Monitoring 2,Administrative Capability
"""00108800""",LYON COLLEGE,Batesville,AR,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00133900""",CORBAN UNIVERSITY,Salem,OR,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00144800""",HOWARD UNIVERSITY,Washington,DC,,"Private, Nonprofit",HCM - Cash Monitoring 2,Program Review - Severe Findings
"""00149500""",JACKSONVILLE UNIVERSITY,Jacksonville,FL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00156300""",EMMANUEL COLLEGE,Franklin Springs,GA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00158700""",PAINE COLLEGE,Augusta,GA,,"Private, Nonprofit",HCM - Cash Monitoring 2,Accreditation Problems
"""00159100""",SHORTER UNIVERSITY,Rome,GA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00162800""",AMERICAN ACADEMY OF ART,Chicago,IL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
"""00170000""",JUDSON UNIVERSITY,Elgin,IL,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00174200""",ILLINOIS EASTERN COMMUNITY COLLEGES - OLNEY CENTRAL COLLEGE,Olney,IL,,Public,HCM - Cash Monitoring 1,Financial Responsibility
"""00175800""",SOUTHERN ILLINOIS UNIVERSITY AT CARBONDALE,Carbondale,IL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00175900""",SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,Edwardsville,IL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00177900""",ILLINOIS EASTERN COMMUNITY COLLEGES - WABASH VALLEY COLLEGE,Mount Carmel,IL,,Public,HCM - Cash Monitoring 1,Financial Responsibility
"""00187100""",IOWA WESLEYAN UNIVERSITY,Mount Pleasant,IA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00190400""",BETHANY COLLEGE,Lindsborg,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00190500""",BETHEL COLLEGE,North Newton,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00190800""",CENTRAL CHRISTIAN COLLEGE OF KANSAS,McPherson,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00192100""",HIGHLAND COMMUNITY COLLEGE,Highland,KS,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
"""00193700""",OTTAWA UNIVERSITY,Ottawa,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00194000""",SOUTHWESTERN COLLEGE,Winfield,KS,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00196900""",KENTUCKY WESLEYAN COLLEGE,Owensboro,KY,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00215100""",BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,Boston,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00215400""",HELLENIC COLLEGE & HOLY CROSS GREEK ORTHODOX SCHOOL OF THEOLOGY,Brookline,MA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Audit Late/Missing
"""00223400""",ADRIAN COLLEGE,Adrian,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00228400""",MARYGROVE COLLEGE,Detroit,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00228800""",ROCHESTER COLLEGE,Rochester Hills,MI,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
"""00229000""",MICHIGAN STATE UNIVERSITY,East Lansing,MI,,Public,HCM - Cash Monitoring 1,Administrative Capability
