Institutions on HCM1 or HCM2 as of 12-1-2015,,,,,,,
Source: PEPS,,,,,,,
OPE ID,Institution Name,City,State,Country,Institution Type,Stop Pay/Monitor Method,Method Reason Desc
884300,Alaska Bible College,Palmer,AK,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
100500,Alabama State University,Montgomery,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
100700,Central Alabama Community College,Alexander City,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
101300,Calhoun Community College,Tanner,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
101600,University of North Alabama,Florence,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
102400,University of West Alabama,Livingston,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
102600,Marion Military Institute,Marion,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
105900,Lawson State Community College,Birmingham,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
569900,George Corley Wallace State Community College - Selma,Selma,AL,,Public,HCM - Cash Monitoring 1,Audit Late/Missing
2341000,Fortis College,Mobile,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3010600,Virginia College,Birmingham,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3361400,Fortis College,Foley,AL,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
4187300,Hair Academy (The),Montgomery,AL,,Proprietary,HCM - Cash Monitoring 1,Audit Late/Missing
108700,Arkansas Baptist College,Little Rock,AR,,"Private, Nonprofit",HCM - Cash Monitoring 2,Administrative Capability
108800,Lyon College,Batesville,AR,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
2330800,JRMC School of Nursing,Pine Bluff,AR,,"Private, Nonprofit",HCM - Cash Monitoring 2,Audit - Severe Findings
3065100,ABC Beauty College,Arkadelphia,AR,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
446700,Tucson College,Tucson,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
2199900,American Indian College,Phoenix,AZ,,"Private, Nonprofit",HCM - Cash Monitoring 2,Accreditation Problems
2616700,Le Cordon Bleu College of Culinary Arts,Scottsdale,AZ,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
3097800,Carsten Institute of Cosmetology,Tempe,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3120300,CollegeAmerica - Flagstaff,Flagstaff,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3813300,Northcentral University,Prescott Valley,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
4051300,Art Institute of Phoenix (The),Phoenix,AZ,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
112300,Brooks Institute,Ventura,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
747600,Marinello Schools of Beauty,Los Angeles,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
760700,Concorde Career College,North Hollywood,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
793000,Concorde Career College,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
807100,Concorde Career College,Garden Grove,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
853700,Concorde Career College,San Bernardino,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
903200,Empire College,Santa Rosa,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
998900,Santa Barbara Business College,Ventura,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
1047400,Marymount California University,Rancho Palos Verdes,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
1085400,Thomas Jefferson School of Law,San Diego,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
1162600,Westwood College - South Bay,Torrance,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
1265000,Marinello School of Beauty,Burbank,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
1307400,American Beauty College,West Covina,CA,,Proprietary,HCM - Cash Monitoring 2,Other -CIO Problems (Eligibility)
2054900,Marinello School of Beauty,Lake Forest,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
2059800,Paris Beauty College,Concord,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review - Severe Findings
2086400,Marinello School of Beauty,Santa Clara,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
2110800,California College San Diego,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
2179900,Argosy University,Orange,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
2220200,California Culinary Academy,San Francisco,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
2221300,Marinello School of Beauty,Moreno Valley,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
2237200,Phillips Graduate Institute,Chatsworth,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
2332800,Center for Employment Training,San Jose,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Provisional Certification
2338700,Marinello School of Beauty,San Francisco,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
2342400,Academy of Radio & TV Broadcasting,Huntington Beach,CA,,Proprietary,HCM - Cash Monitoring 2,Financial Responsibility
2570300,Los Angeles ORT Technical Institute,Los Angeles,CA,,"Private, Nonprofit",HCM - Cash Monitoring 1,Financial Responsibility
2577900,Santa Barbara Business College,Bakersfield,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
2578000,Santa Barbara Business College,Santa Maria,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
2596400,Spartan College of Aeronautics & Technology,Inglewood,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3043900,NewSchool of Architecture and Design,San Diego,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3072700,Westwood College - Los Angeles,Los Angeles,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3094400,Marinello School of Beauty,Sacramento,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
3108100,Summit College,Colton,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
3210300,Le Cordon Bleu College of Culinary Arts,Pasadena,CA,,Proprietary,HCM - Cash Monitoring 1,Administrative Capability
3467300,Marinello School of Beauty,Hemet,CA,,Proprietary,HCM - Cash Monitoring 2,Program Review
3614300,David's Academy of Beauty,Pico Rivera,CA,,Proprietary,HCM - Cash Monitoring 2,Accreditation Problems
3874400,Community Christian College,Redlands,CA,,"Private, Nonprofit",HCM - Cash Monitoring 2,Accreditation Problems
3973300,Ex'pression College,Emeryville,CA,,Proprietary,HCM - Cash Monitoring 1,Financial Responsibility
