Facility Code,In-State Tuition Information
11000101, http://bulletin.montevallo.edu/content.php?catoid=27&navoid=3849#classifications http://bulletin.montevallo.edu/content.php?catoid=28&navoid=3750#alabama-residency-for-tuition-purposes https://www.montevallo.edu/about-um/administration/registrars-office/residency/
11000105,Contact the School Certifying Official (SCO) for requirements
11000111,Contact the School Certifying Official (SCO) for requirements
11000118,Contact the School Certifying Official (SCO) for requirements
11000129,https://www.greatbay.edu/paying-for-great-bay/tuition-fees/
11000133,Contact the School Certifying Official (SCO) for requirements
11000139,Contact the School Certifying Official (SCO) for requirements
11000144,Contact the School Certifying Official (SCO) for requirements
11000149,Contact the School Certifying Official (SCO) for requirements
11000201,Contact the School Certifying Official (SCO) for requirements
11000204,Contact the School Certifying Official (SCO) for requirements
11000218,Contact the School Certifying Official (SCO) for requirements
11000230,Contact the School Certifying Official (SCO) for requirements
11000238, http://equity.psu.edu/veterans
11000249,Contact the School Certifying Official (SCO) for requirements
11000301,Contact the School Certifying Official (SCO) for requirements
11000311,Contact the School Certifying Official (SCO) for requirements
11000330,Contact the School Certifying Official (SCO) for requirements
11000336, https://catalog.nsuok.edu/content.php?catoid=26&navoid=1301
11000337,Contact the School Certifying Official (SCO) for requirements
11000338,Contact the School Certifying Official (SCO) for requirements
11000339, https://web.uri.edu/veterans/tuition-residency/
11000349, http://catalog.uwlax.edu/undergraduate/
11000413, https://policy.illinoisstate.edu/students/2-1-17.shtml
11000449,Contact the School Certifying Official (SCO) for requirements
11000510, https://veterans.ufl.edu/pdf/2020_Veteran_Fee_Waiver.pdf
11000516,Contact the School Certifying Official (SCO) for requirements
11000530,Contact the School Certifying Official (SCO) for requirements
11000532,Contact the School Certifying Official (SCO) for requirements
11000541,Contact the School Certifying Official (SCO) for requirements
11000543,Contact the School Certifying Official (SCO) for requirements
11000549,Contact the School Certifying Official (SCO) for requirements
11000608,Contact the School Certifying Official (SCO) for requirements
11000619,Contact the School Certifying Official (SCO) for requirements
11000626, https://www.umwestern.edu/residency-requirements-2/
11000631,Contact the School Certifying Official (SCO) for requirements
11000634, www.mayvillestate.edu/paying-school/tuition-fees/
11000636,Contact the School Certifying Official (SCO) for requirements
11000643,Contact the School Certifying Official (SCO) for requirements
11000644,Contact the School Certifying Official (SCO) for requirements
11000649,Contact the School Certifying Official (SCO) for requirements
11000719,https://www.uma.edu/admission/veterans/
11000736,Contact the School Certifying Official (SCO) for requirements
11000749,Contact the School Certifying Official (SCO) for requirements
11000818,  http://www.southeastern.edu/admin/vet_success/benefits/index.html
11000826, https://www.msubillings.edu/finaid/CostOfAttendance.htm
11000834, https://bismarckstate.edu/admissions/payingforcollege/tuitionfees/Residency/   
11000840,Contact the School Certifying Official (SCO) for requirements
11000849, https://www.uwsp.edu/finaid/veteran-services/Pages/default.aspx
11000901, https://registrar.ua.edu/academics-policies/residency-for-tuition-purposes/
11000918,Contact the School Certifying Official (SCO) for requirements
11000919,Contact the School Certifying Official (SCO) for requirements
11000934,Contact the School Certifying Official (SCO) for requirements
11000949,Contact the School Certifying Official (SCO) for requirements
11001034,Contact the School Certifying Official (SCO) for requirements
11001049, https://www.uww.edu/financialaid/costs/cost-of-attendance
11001141, https://www.sdsmt.edu/Academics/Registrar/Student/Veterans-Benefits/
11001149, https://www.uwstout.edu/life-stout/student-services/veteran-services/incoming-veteran-student-benefits
11001206,Contact the School Certifying Official (SCO) for requirements
11001216,Contact the School Certifying Official (SCO) for requirements
11001222,Contact the School Certifying Official (SCO) for requirements
11001240, https://www.citadel.edu/root/registrar-residency 
11001243, https://sbs.tamu.edu/info-for/military-students/military-in-texas-waiver/Military%20in%20Texas%20Waiver.html
11001249,Contact the School Certifying Official (SCO) for requirements
11001306,Contact the School Certifying Official (SCO) for requirements
11001330, https://www.wpunj.edu/studentaccounts/tuition-and-fees/
11001341, https://www.bhsu.edu/admissions/pay-for-college/tuition-and-fees/In-State-Tuition
11001349,Contact the School Certifying Official (SCO) for requirements
11001404,Contact the School Certifying Official (SCO) for requirements
11001419,Contact the School Certifying Official (SCO) for requirements
11001433,Contact the School Certifying Official (SCO) for requirements
11001440,https://www.winthrop.edu/recandreg/sc-residency-for-tuition-payment-purposes.aspx
11001441, https://www.sdbor.edu/policy/documents/5-5-1.pdf
11001520, https://www.morgan.edu/Documents/ADMINISTRATION/regents/policies/BORApproved-StudentResidencyClassificationAdmissionTuitionPurposes.pdf
11001523, https://mankato.mnsu.edu/academics/course-planning-and-registration/registration-and-academic-records/incoming-students-registration-resources/residency-reciprocity-future-students/
11001541,Contact the School Certifying Official (SCO) for requirements
11001543, https://catalog.utdallas.edu/2020/undergraduate/tuition-and-financial-aid/#residency-classification-for-tuition-purposes
11001611, https://www.asurams.edu/enrollment-management/office-of-military-and-adult-education.php
11001619,Contact the School Certifying Official (SCO) for requirements
11001625,Contact the School Certifying Official (SCO) for requirements
11001644,Contact the School Certifying Official (SCO) for requirements
11001718,Contact the School Certifying Official (SCO) for requirements
11001719, https://www.umpi.edu/offices/student-financial-services/student-accounts/general-financial-information/
11001733, https://military.uncg.edu/admissions/state-tuition-waiver/
11001743,Contact the School Certifying Official (SCO) for requirements
11001801,Contact the School Certifying Official (SCO) for requirements
11001815,https://veterans.uiowa.edu/student-benefits-state-tuition
11001818,Contact the School Certifying Official (SCO) for requirements
11001819, https://machias.edu/registrar/veterans-services/#answer3
11001836,Contact the School Certifying Official (SCO) for requirements
11001844, https://www.usu.edu/admissions/residency/
11001901, http://catalog.ccis.edu/content.php?catoid=20&navoid=2173
11001916, https://www.washburn.edu/admissions/paying-for-college/Residency/index.html
11001918,Contact the School Certifying Official (SCO) for requirements
11001936,Contact the School Certifying Official (SCO) for requirements
11001943,Contact the School Certifying Official (SCO) for requirements
11001946,Contact the School Certifying Official (SCO) for requirements
11002040,Contact the School Certifying Official (SCO) for requirements
11002106, https://western.edu/admissions-aid/tuition-costs/residency-status/
11002130,Contact the School Certifying Official (SCO) for requirements
11002133,Contact the School Certifying Official (SCO) for requirements
11002148,Contact the School Certifying Official (SCO) for requirements
11002222,Contact the School Certifying Official (SCO) for requirements
11002248,Contact the School Certifying Official (SCO) for requirements
11002440,Contact the School Certifying Official (SCO) for requirements
11002443,Contact the School Certifying Official (SCO) for requirements
11002523,https://www.stcloudstate.edu/srfs/finances/cost-of-attendance.aspx
11002620,Contact the School Certifying Official (SCO) for requirements
11002704, https://uca.edu/studentaccounts/fee-waivers/
11002733,Contact the School Certifying Official (SCO) for requirements
11002841,Contact the School Certifying Official (SCO) for requirements
11002941,Contact the School Certifying Official (SCO) for requirements
11003026,Contact the School Certifying Official (SCO) for requirements
11003136,Contact the School Certifying Official (SCO) for requirements
11003346, https://www.vmi.edu/about/offices-a-z/financial-aid/types-of-aid/veterans-benefits/
11003363, http://upra.edu/admisiones/tarifas-de-matricula/
11003436,Contact the School Certifying Official (SCO) for requirements
11003463, www.cayey.upr.edu
11003523,Contact the School Certifying Official (SCO) for requirements
11004020,Contact the School Certifying Official (SCO) for requirements
11004336,Contact the School Certifying Official (SCO) for requirements
11004716,Contact the School Certifying Official (SCO) for requirements
11004820,Contact the School Certifying Official (SCO) for requirements
11004835,Contact the School Certifying Official (SCO) for requirements
11004920,Contact the School Certifying Official (SCO) for requirements
11005016,Contact the School Certifying Official (SCO) for requirements
11005616, https://www.cmich.edu/featured/Pages/tuition-and-fees.aspx
11005704,Contact the School Certifying Official (SCO) for requirements
11005716,Contact the School Certifying Official (SCO) for requirements
11005833,Contact the School Certifying Official (SCO) for requirements
11006020,Contact the School Certifying Official (SCO) for requirements
11006124,Contact the School Certifying Official (SCO) for requirements
11006132,Contact the School Certifying Official (SCO) for requirements
11006133, https://uncw.edu/reg/resid-residency.html
11006220,Contact the School Certifying Official (SCO) for requirements
11006232,Contact the School Certifying Official (SCO) for requirements
11006340,  www.fmarion.edu/veterans
11006533, https://registrar.appstate.edu/students/nc-residency/nc-choice-act
11006720,Contact the School Certifying Official (SCO) for requirements
11006833,Contact the School Certifying Official (SCO) for requirements
11006933, https://www.uncp.edu/admissions/costs-and-financial-aid/residency-information/residency-faqs
11007011, https://www.gsw.edu/financial-aid/tuition/tuition-fees
11007065, https://www.uvi.edu/enrollment/registrar/registrar-veterans.aspx
11007135,Contact the School Certifying Official (SCO) for requirements
11007246,https://admissions.siu.edu/cost/in-state.php
11007433,Contact the School Certifying Official (SCO) for requirements
11007435,Contact the School Certifying Official (SCO) for requirements
11007440,Contact the School Certifying Official (SCO) for requirements
11007733,Contact the School Certifying Official (SCO) for requirements
11007743,Contact the School Certifying Official (SCO) for requirements
11007746,Contact the School Certifying Official (SCO) for requirements
11007833,Contact the School Certifying Official (SCO) for requirements
11007846, https://www.cmich.edu/featured/Pages/tuition-and-fees.aspx
11008146,Contact the School Certifying Official (SCO) for requirements
11008243, https://studentaffairs.unt.edu/student-veteran-services/guides/residency
11008246,Contact the School Certifying Official (SCO) for requirements
11008446,Contact the School Certifying Official (SCO) for requirements
11008533,Contact the School Certifying Official (SCO) for requirements
11008542,Contact the School Certifying Official (SCO) for requirements
11008546,Contact the School Certifying Official (SCO) for requirements
11008643,Contact the School Certifying Official (SCO) for requirements
11008646,Contact the School Certifying Official (SCO) for requirements
11008711, https://catalog.gatech.edu/financial/assistance/ugrad/out-of-state-waiver/
11008746,Contact the School Certifying Official (SCO) for requirements
11008846,Contact the School Certifying Official (SCO) for requirements
11008946,Contact the School Certifying Official (SCO) for requirements
11009046,Contact the School Certifying Official (SCO) for requirements
11009143,Contact the School Certifying Official (SCO) for requirements
11009146,Contact the School Certifying Official (SCO) for requirements
11009246,Contact the School Certifying Official (SCO) for requirements
11009338,Contact the School Certifying Official (SCO) for requirements
11009438,Contact the School Certifying Official (SCO) for requirements
11009538,Contact the School Certifying Official (SCO) for requirements
11009638, https://www.kutztown.edu/affordability/military-funding-and-aid.html
11009738,Contact the School Certifying Official (SCO) for requirements
11009938,Contact the School Certifying Official (SCO) for requirements
11010040,Contact the School Certifying Official (SCO) for requirements
11010138,Contact the School Certifying Official (SCO) for requirements
11010230,Contact the School Certifying Official (SCO) for requirements
11010238,Contact the School Certifying Official (SCO) for requirements
11010411,Contact the School Certifying Official (SCO) for requirements
11010811,Contact the School Certifying Official (SCO) for requirements
11010911,Contact the School Certifying Official (SCO) for requirements
11011006,Contact the School Certifying Official (SCO) for requirements
11011011,Contact the School Certifying Official (SCO) for requirements
11011106, https://www.csupueblo.edu/admissions/residency/exceptions/veterans-and-dependents.html
11011111,Contact the School Certifying Official (SCO) for requirements
11011201, https://www.southalabama.edu/departments/registrar/residency.html
11011206,Contact the School Certifying Official (SCO) for requirements
11011211,Contact the School Certifying Official (SCO) for requirements
11011311,Contact the School Certifying Official (SCO) for requirements
11011943,Contact the School Certifying Official (SCO) for requirements
11012111,https://www.gmc.edu/prospective-students/tuition-basics.cms
11012543,Contact the School Certifying Official (SCO) for requirements
11012606, https://csuglobal.edu/cost/tuition/tuition-rates
11014143,Contact the School Certifying Official (SCO) for requirements
11014421, https://www.umassd.edu/registrar/residency-reclassification/tuition-classification/
11015043,Contact the School Certifying Official (SCO) for requirements
11015131,Contact the School Certifying Official (SCO) for requirements
11015521,Contact the School Certifying Official (SCO) for requirements
11015621, https://catalog.salemstate.edu/content.php?catoid=47&navoid=11927&hl=accountability&returnto=search%23vets_access_2014
11017310,Contact the School Certifying Official (SCO) for requirements
11018643,Contact the School Certifying Official (SCO) for requirements
11019543,Contact the School Certifying Official (SCO) for requirements
11019743,  https://www.uhv.edu/student-billing/payment-options/waivers-and-exemptions
11019943,Contact the School Certifying Official (SCO) for requirements
11020843,Contact the School Certifying Official (SCO) for requirements
11020943,Contact the School Certifying Official (SCO) for requirements
11021143,Contact the School Certifying Official (SCO) for requirements
11025443, https://sbs.tamu.edu/info-for/military-students/military-in-texas-waiver/Military%20in%20Texas%20Waiver.html
11026218, https://www.cmich.edu/featured/Pages/tuition-and-fees.aspx
11026318,Contact the School Certifying Official (SCO) for requirements
11026418,Contact the School Certifying Official (SCO) for requirements
11026518, https://www.nsula.edu/financialaid/types/
11026643,Contact the School Certifying Official (SCO) for requirements
11026718,Contact the School Certifying Official (SCO) for requirements
11028943, https://sbs.tamu.edu/info-for/military-students/military-in-texas-waiver/Military%20in%20Texas%20Waiver.html
11029043,Contact the School Certifying Official (SCO) for requirements
11029243,Contact the School Certifying Official (SCO) for requirements
11029843, https://admissions.utexas.edu/residency
11029943,Contact the School Certifying Official (SCO) for requirements
11030043, https://www.depts.ttu.edu/admissions/residency/      
11030243,Contact the School Certifying Official (SCO) for requirements
11030943,Contact the School Certifying Official (SCO) for requirements
11031043,Contact the School Certifying Official (SCO) for requirements
11031143,Contact the School Certifying Official (SCO) for requirements
11033943,Contact the School Certifying Official (SCO) for requirements
11034043,Contact the School Certifying Official (SCO) for requirements
11034843,Contact the School Certifying Official (SCO) for requirements
11035243,Contact the School Certifying Official (SCO) for requirements
11035543,Contact the School Certifying Official (SCO) for requirements
11035643,Contact the School Certifying Official (SCO) for requirements
11037813,Contact the School Certifying Official (SCO) for requirements
11038743,Contact the School Certifying Official (SCO) for requirements
11043943,Contact the School Certifying Official (SCO) for requirements
11045043, https://sbs.tamu.edu/info-for/military-students/military-in-texas-waiver/Military%20in%20Texas%20Waiver.html
11047043,Contact the School Certifying Official (SCO) for requirements
11047343,Contact the School Certifying Official (SCO) for requirements
11048043, https://www.tjc.edu/info/20019/tuition_and_cost/11/tjc_district
11048510,Contact the School Certifying Official (SCO) for requirements
11049043,Contact the School Certifying Official (SCO) for requirements
11049543,Contact the School Certifying Official (SCO) for requirements
11049743,Contact the School Certifying Official (SCO) for requirements
11049943,Contact the School Certifying Official (SCO) for requirements
11050029,https://www.plymouth.edu/current-students/financial-resources/financial-resources/residency-information/
11050243, https://catalog.southtexascollege.edu/tuition-fees/
11050643, https://www.austincc.edu/admissions/residency-information
11051110,Contact the School Certifying Official (SCO) for requirements
11051343,Contact the School Certifying Official (SCO) for requirements
11053310,Contact the School Certifying Official (SCO) for requirements
11057047, https://www.cwu.edu/registrar/military-personnel-families
11057210,Contact the School Certifying Official (SCO) for requirements
11058610,Contact the School Certifying Official (SCO) for requirements
11066910,Contact the School Certifying Official (SCO) for requirements
11067010,Contact the School Certifying Official (SCO) for requirements
11072420,Contact the School Certifying Official (SCO) for requirements
11072520,Contact the School Certifying Official (SCO) for requirements
11100120,Contact the School Certifying Official (SCO) for requirements
11100209,Contact the School Certifying Official (SCO) for requirements
11100220, https://www.salisbury.edu/administration/administration-and-finance-offices/financial-services/residency/
11100420,Contact the School Certifying Official (SCO) for requirements
11100520, https://www.smcm.edu/registrar/academic-records/maryland-residency/
11100620,Contact the School Certifying Official (SCO) for requirements
11100720,Contact the School Certifying Official (SCO) for requirements
11104005,Contact the School Certifying Official (SCO) for requirements
11104105,Contact the School Certifying Official (SCO) for requirements
11104205, https://www.teacherscollegesj.edu/Admissions/Tuition
11104305,Contact the School Certifying Official (SCO) for requirements
11104505,Contact the School Certifying Official (SCO) for requirements
11104705, https://ce.csueastbay.edu/registration/tuition.html
11105105,Contact the School Certifying Official (SCO) for requirements
11105605,Contact the School Certifying Official (SCO) for requirements
11105805,Contact the School Certifying Official (SCO) for requirements
11105905,Contact the School Certifying Official (SCO) for requirements
11106005,https://www.sjsu.edu/registrar/registration/residency/faq.php
11107005,Contact the School Certifying Official (SCO) for requirements
11112047, https://inside.ewu.edu/veterans/waivers/
11116005,Contact the School Certifying Official (SCO) for requirements
11116205,Contact the School Certifying Official (SCO) for requirements
11116405, https://miracosta.edu/student-services/admissions/index.html
11116505,Contact the School Certifying Official (SCO) for requirements
11116605, https://www.avc.edu/studentservices/adminrec/eligibility
11116805,Contact the School Certifying Official (SCO) for requirements
11116905,Contact the School Certifying Official (SCO) for requirements
11117005,Contact the School Certifying Official (SCO) for requirements
11117105, https://www.smc.edu/admission-aid/tuition-fees/index.php
11117305, https://www.sac.edu/StudentServices/VRC/VeteransOffice/Pages/Impt%20Vet%20Certification%20Information.aspx 
11117405,Contact the School Certifying Official (SCO) for requirements
11117605,Contact the School Certifying Official (SCO) for requirements
11117805,Contact the School Certifying Official (SCO) for requirements
11117905,Contact the School Certifying Official (SCO) for requirements
11118005,Contact the School Certifying Official (SCO) for requirements
11131005, https://registrar.ucsf.edu/registration/residency
11132647,www.evergreen.edu/registration/residency 
11200007,Contact the School Certifying Official (SCO) for requirements
11200022,Contact the School Certifying Official (SCO) for requirements
11200223,Contact the School Certifying Official (SCO) for requirements
11240005, https://www.uchastings.edu/fiscal-services/tuition-and-fees/
11304632,Contact the School Certifying Official (SCO) for requirements
11362332,Contact the School Certifying Official (SCO) for requirements
11363932, https://www.esc.edu/tuition-financial-aid/tuition-rates/
11372332,Contact the School Certifying Official (SCO) for requirements
11375732,Contact the School Certifying Official (SCO) for requirements
11381532,Contact the School Certifying Official (SCO) for requirements
11381632,Contact the School Certifying Official (SCO) for requirements
11400009,Contact the School Certifying Official (SCO) for requirements
11415847,Contact the School Certifying Official (SCO) for requirements
11464447,Contact the School Certifying Official (SCO) for requirements
11477147, https://va.wsu.edu/
11500009,Contact the School Certifying Official (SCO) for requirements
11501401, https://catalog.uah.edu/undergrad/admissions/residency/
11505001, https://catalog.jsu.edu/undergraduate/tuition-fees-financial-policies/
11505717,Contact the School Certifying Official (SCO) for requirements
11505948,Contact the School Certifying Official (SCO) for requirements
11506848,Contact the School Certifying Official (SCO) for requirements
11507047,Contact the School Certifying Official (SCO) for requirements
11507717,Contact the School Certifying Official (SCO) for requirements
11508417,Contact the School Certifying Official (SCO) for requirements
11509205, http://www.fullerton.edu/veterans/faq/index.php
11510117,Contact the School Certifying Official (SCO) for requirements
11510235,Contact the School Certifying Official (SCO) for requirements
11513435,https://www.miamioh.edu/onestop/paying-for-college/costs/residency/application-instructions/index.html
11513535,Contact the School Certifying Official (SCO) for requirements
11514135,Contact the School Certifying Official (SCO) for requirements
11516135, https://www.uc.edu/bursar/fees/TG2019-20.html
