"facility_code","institution","longitude","latitude","ungeocodable"
"15075536","PRAGUE HIGH SCHOOL",14.4025505,50.0964541,False
"15117543","SANTO HIGH SCHOOL",-97.5393780483541,32.93024635,False
"15589125","JENNINGS HIGH",-90.2556799,38.7261719,False
"15051636","MORRISON HIGH SCHOOL",-97.0080934,36.2972705,False
"15055836","FOYIL HIGH SCHOOL",-95.5194205,36.4348166,False
"15154922","NORTH DICKINSON SCHOOL",-87.9589677693163,46.01096905,False
"15040113","BYRON HIGH SCHOOL",-89.2637779773869,42.1319105954774,False
"15574625","HILLSBORO HIGH",-90.5701717494922,38.24143275,False
"15039649","GROPPI HIGH",-87.9476491647163,43.0475322925519,False
"15076036","ALVA HIGH SCHOOL",-98.6805266814801,36.80381745,False
"15025004","BENTON HIGH SCHOOL",-92.57408,34.5637275,False
"15048236","STILWELL HIGH SCHOOL",-94.6286156,35.814431,False
"15052936","MARIETTA HIGH SCHOOL",-88.465327,34.4987101,False
"15055036","GUTHRIE HIGH SCHOOL",-97.4214557817393,35.8933915,False
"15032549","HUDSON HIGH",-92.7387078718443,44.9788619,False
"10004137","BEND POLICE DEPARTMENT",-121.284691,44.0560946,False
"10073736","HAWORTH HIGH SCHOOL",-1.95246128532017,53.83169365,False
"102B3905","FAA NAPA TOWER",-122.276386399056,38.2065296662341,False
"10404347","PUYALLUP POLICE DEPARTMENT",-122.296683,47.1906296,False
"10542230","LEONIA POLICE DEPARTMENT",-73.9880807627769,40.86270725,False
"10517830","MAYWOOD POLICE DEPARTMENT",-74.0604607142857,40.9042802857143,False
"10675136","CITY OF DUNCAN",-97.11028475,34.4228419,False
"10966311","COASTAL STATE PRISON",-81.1866497173741,32.13774735,False
"20810430","VERIZON",-74.1102646051395,40.8594404869112,False
"20983611","ETHICON INC",-83.5271166,34.5114883,False
"20A99123","V-TEK INC",-93.9993505,44.1634663,False
"20A29510","YRC FREIGHT-TAMPA",-82.3444353469388,27.9411899285714,False
"20B16823","VETTER STONE",-93.9649575,44.2924667,False
"35010041","NEW TEC INC",-98.4526845184885,45.4692344453133,False
"35005819","LEE ACADEMY",-68.2859739268293,45.3614113414634,False
"11204380","HOCHSCHULE ULM",9.9986984,48.4085232,False
"25037506","SKILL DISTILLERY",-104.9224559,39.6070086,False
"25388532","ACE INSTITUTE OF TECHNOLOGY-ELMHURST",-73.8861549,40.7276443,False
"25020833","STRAC INSTITUTE",-78.878292,35.0525759,False
"25818903","YUMA TRUCK DRIVING SCHOOL",-114.579020157895,32.669769,False
"15520835","CUYAHOGA VALLEY CAREER CENTER",-81.6240836095607,41.34465875,False
"25134943","ARCLABS WELDING SCHOOL",-81.0838565,34.0159188,False
"25004040","ARCLABS-HANAHAN",-79.9817071705987,32.9094654635501,False
"25001940","ARCLABS-COLUMBIA",-81.0838565,34.0159188,False
"15003513","HVAC TECHNICAL INSTITUTE",-87.7326015943938,41.8110376515441,False
"3V000113","CODE PLATOON",-87.6302924,41.8796455,False
"25145043","DRIVER DISPATCH DBA PHOENIX TRUCK DRIVING SCHOOL FORT BLISS",-98.4101720323796,29.4797913824146,False
"25610525","CLAIM ACADEMY",-90.25265534147,38.6412845870683,False
"25160522","ABCOTT INSTITUTE",-83.2107917821664,42.4449803432409,False
"25011539","STRAC INSTITUTE",-71.415161,41.824098,False
"25088643","ROADMASTER DRIVERS SCHOOL",-98.3943667336683,29.4365962110553,False
"25569235","ROADMASTER DRIVERS SCHOOL OF OHIO INC",-83.045704,39.918219,False
"25001630","AMERICAN INSTITUTE-TOMS RIVER",-74.222092997397,40.0449735785246,False
"25153843","COMPUTERMINDS COM",-97.0908348697238,32.8369612273123,False
"25027303","HDS TRUCK DRIVING INSTITUTE",-110.85786516468,32.1393909400976,False
"25030303","ROADMASTER DRIVERS SCHOOL PHX",-112.1619756,33.4250219,False
"25811110","ROADMASTER DRIVERS SCHOOL OF JACKSONVILLE",-81.655651,30.3321838,False
