unitid,cipcode,ctotalt
100654,1,4
100654,1.0901,7
100654,1.1001,5
100654,1.1001,9
100654,1.1001,1
100654,1.9999,3
100654,1.9999,7
100654,1.9999,3
100654,3.0599,6
100654,4.0301,3
100654,4.0301,10
100654,9.0199,2
100654,10.0202,15
100654,11.0101,17
100654,11.0101,11
100654,13.0101,6
100654,13.0401,8
100654,13.1001,2
100654,13.1001,4
100654,13.1012,15
100654,13.1202,6
100654,13.1202,10
100654,13.1205,10
100654,13.121,1
100654,13.1314,24
100654,14.0801,6
100654,14.1001,19
100654,14.1901,13
100654,14.9999,8
100654,15.0399,5
100654,15.0899,5
100654,15.1001,10
100654,19.0101,14
100654,19.0101,15
100654,23.0101,4
100654,24.0102,28
100654,26.0101,30
100654,26.0101,19
100654,27.0101,1
100654,31.0505,6
100654,40.0501,4
100654,40.0801,9
100654,40.0801,2
100654,40.0899,3
100654,42.0101,20
100654,42.2803,59
100654,43.0103,22
100654,44.0701,16
100654,44.0701,69
100654,45.1001,9
100654,45.1101,10
100654,50.0701,8
100654,50.0901,4
100654,51.0203,15
100654,52.0201,25
100654,52.0201,31
100654,52.0203,20
100654,52.0301,12
100654,52.0801,13
100654,52.1401,9
100654,99,424
100654,99,295
100654,99,6
100654,99,7
100663,5.0201,1
100663,9.0101,80
100663,9.0101,15
100663,11.0101,29
100663,11.0101,11
100663,11.0101,3
100663,11.0101,1
100663,11.1003,6
100663,13.0101,23
100663,13.0401,58
100663,13.0401,28
100663,13.0401,4
100663,13.0401,8
100663,13.1001,29
100663,13.1101,30
100663,13.1202,3
100663,13.1202,8
100663,13.1202,35
100663,13.1205,17
100663,13.1205,46
100663,13.121,45
100663,13.121,7
100663,13.121,2
100663,13.121,2
100663,13.1302,7
100663,13.1307,13
100663,13.1307,4
100663,13.1314,88
100663,13.1314,12
100663,13.1315,1
100663,13.1401,44
100663,14.0101,101
100663,14.0501,29
100663,14.0501,9
100663,14.0501,6
100663,14.0801,22
100663,14.0801,15
100663,14.0801,3
100663,14.0901,0
100663,14.1001,24
100663,14.1001,9
100663,14.1801,21
100663,14.1801,7
100663,14.1801,3
100663,14.1901,37
100663,14.1901,9
100663,14.9999,7
100663,16.0101,13
100663,23.0101,35
100663,23.0101,8
100663,23.0101,6
100663,24.0199,30
100663,24.0199,3
100663,26.0101,125
100663,26.0101,13
100663,26.0101,4
100663,26.0101,2
100663,26.0102,12
100663,26.0102,24
100663,26.0205,7
100663,26.0401,9
100663,26.0502,11
100663,26.0806,6
100663,26.0902,1
100663,26.0909,1
100663,26.0909,5
100663,26.091,13
100663,26.1007,2
100663,26.1102,4
100663,26.1102,4
100663,26.1201,11
100663,26.1309,2
100663,26.1501,26
100663,26.1503,9
100663,27.0101,20
100663,27.0101,9
100663,27.0101,4
100663,27.0301,3
100663,30.0601,0
100663,30.1901,3
100663,31.0599,6
100663,38.0101,11
100663,38.0101,3
100663,40.0501,43
100663,40.0501,3
100663,40.0501,8
100663,40.0801,4
100663,40.0801,2
100663,40.0801,6
100663,40.1001,0
100663,42.0101,170
100663,42.0101,10
100663,42.0101,10
100663,42.0101,3
100663,43.0106,5
100663,43.0199,54
100663,43.0199,4
100663,44.0401,40
100663,44.0401,0
100663,44.0701,49
100663,45.0201,10
100663,45.0201,0
100663,45.1001,23
100663,45.1001,6
100663,45.1101,29
100663,45.1101,3
100663,45.1101,2
100663,45.1101,1
100663,45.9999,19
100663,45.9999,1
100663,50.0501,11
100663,50.0509,0
100663,50.0701,60
100663,50.0703,4
100663,50.0901,16
100663,51.0001,0
100663,51.0001,2
100663,51.0401,57
100663,51.0501,11
100663,51.0601,15
100663,51.0701,120
100663,51.0701,56
100663,51.0701,4
100663,51.0701,10
100663,51.0799,23
100663,51.0905,18
100663,51.0905,0
100663,51.0908,27
100663,51.0912,57
100663,51.1005,5
100663,51.1005,18
100663,51.1201,173
100663,51.1509,5
100663,51.1701,48
100663,51.2201,48
100663,51.2201,117
100663,51.2201,5
100663,51.2202,0
100663,51.2306,45
100663,51.2308,49
100663,51.2399,0
100663,51.3101,22
100663,51.3102,4
100663,51.3801,322
100663,51.3801,418
100663,51.3804,34
100663,51.3808,6
100663,51.3818,20
100663,51.9999,0
100663,52.0201,103
100663,52.0201,154
100663,52.0201,1
100663,52.0299,64
100663,52.0301,119
100663,52.0301,73
100663,52.0301,2
100663,52.0601,16
100663,52.0601,1
100663,52.0801,38
100663,52.0801,2
100663,52.1201,51
100663,52.1201,27
100663,52.1401,69
100663,52.1401,9
100663,54.0101,36
100663,54.0101,5
100663,54.0101,7
100663,99,15
100663,99,2205
100663,99,22
100663,99,1618
100663,99,51
100663,99,149
100663,99,360
100663,99,10
100663,99,89
100663,99,0
100690,19.0701,4
100690,19.0707,18
100690,24.0101,4
100690,39.0201,18
100690,39.0201,1
100690,39.0201,1
100690,39.0602,12
100690,39.0699,1
100690,39.0701,14
100690,39.0701,3
100690,43.0103,2
100690,43.0104,1
100690,51.1505,4
100690,51.1505,7
100690,52.0201,5
100690,52.0213,10
100690,52.0501,9
100690,52.1201,1
100690,52.1206,1
100690,99,4
100690,99,41
100690,99,59
100690,99,12
100706,9.0101,32
100706,11.0101,53
100706,11.0101,33
100706,11.0101,3
100706,11.0804,0
100706,11.0804,0
100706,11.0804,0
100706,11.1003,13
100706,13.1202,26
100706,13.1205,4
100706,13.1206,22
100706,13.1401,2
100706,14.0101,97
100706,14.0201,32
100706,14.0201,22
100706,14.0201,0
100706,14.0701,27
100706,14.0801,25
100706,14.0801,2
100706,14.0901,33
100706,14.0901,1
100706,14.0901,6
100706,14.0901,1
100706,14.1001,67
100706,14.1001,5
100706,14.1001,1
100706,14.1901,76
100706,14.1901,8
100706,14.3501,25
100706,14.3501,0
100706,14.9999,2
100706,14.9999,1
100706,14.9999,1
100706,16.0101,0
100706,16.0101,16
100706,23.0101,13
100706,23.0101,15
100706,23.0101,1
100706,23.1303,6
100706,26.0101,64
100706,26.0101,14
100706,26.1201,5
100706,27.0101,14
100706,27.0101,5
100706,27.0101,3
100706,27.0301,2
100706,30.0101,0
100706,30.1501,1
100706,30.9999,0
100706,30.9999,1
100706,30.9999,1
100706,31.0505,0
100706,38.0101,12
100706,38.0101,2
100706,40.0401,9
100706,40.0401,3
100706,40.0501,6
100706,40.0501,5
100706,40.0501,3
100706,40.0801,9
100706,40.0801,8
100706,40.0801,2
100706,40.0801,1
100706,40.1001,0
100706,40.9999,9
100706,40.9999,0
100706,40.9999,2
100706,42.0101,17
100706,42.0101,6
100706,42.0101,1
100706,44.0401,10
100706,45.1001,9
100706,45.1001,1
100706,45.1101,11
100706,45.1101,4
100706,50.0501,2
100706,50.0501,1
100706,50.0701,20
100706,50.0901,6
100706,50.0901,0
100706,51.3801,203
100706,51.3801,93
100706,51.3805,19
100706,51.3817,0
100706,51.3818,17
100706,52.0201,76
100706,52.0201,0
100706,52.0201,74
100706,52.0201,2
100706,52.0202,0
100706,52.0202,4
100706,52.0203,21
100706,52.0203,2
100706,52.0301,53
100706,52.0301,3
100706,52.0301,23
100706,52.0601,3
100706,52.0801,32
100706,52.0801,5
100706,52.1001,0
100706,52.1201,44
100706,52.1201,15
100706,52.1201,0
100706,52.1206,1
100706,52.1301,0
100706,52.1401,31
100706,54.0101,10
100706,54.0101,9
100706,54.0101,0
100706,99,0
100706,99,1062
100706,99,39
100706,99,484
100706,99,19
100706,99,34
100706,99,17
100706,99,25
100724,9.0101,63
100724,11.0401,23
100724,11.0701,8
100724,11.1099,4
100724,13.0101,0
100724,13.0101,7
100724,13.0401,16
100724,13.0401,0
100724,13.0401,19
100724,13.0501,1
100724,13.1001,3
100724,13.1001,1
100724,13.1101,2
100724,13.1101,3
100724,13.1202,28
100724,13.1205,13
100724,13.1205,13
100724,13.1206,9
100724,13.121,14
100724,13.121,3
100724,13.1312,1
100724,13.1314,25
100724,14.0501,0
100724,23.0101,7
100724,26.0101,48
100724,26.0101,4
100724,26.0502,3
100724,27.0101,9
100724,27.0101,3
100724,31.0301,13
100724,40.0501,7
100724,40.051,8
100724,42.0101,31
100724,43.0104,86
100724,43.0106,7
100724,43.0111,1
100724,44.0701,39
100724,44.9999,16
100724,45.1001,8
100724,45.1101,0
100724,50.0501,15
100724,50.0701,9
100724,50.0901,6
100724,51.0706,15
