unitid,prgmofr,cipcode1,xciptui1,ciptuit1,xcipsup1,cipsupp1,xciplgt1,ciplgth1,prgmsr1,xmthcmp1,mthcmp1,xwkcmp1,wkcmp1,xlnayhr1,lnayhr1,xlnaywk1,lnaywk1,xchg1py0,chg1py0,xchg1py1,chg1py1,xchg1py2,chg1py2,xchg1py3,chg1py3,xchg4py0,chg4py0,xchg4py1,chg4py1,xchg4py2,chg4py2,xchg4py3,chg4py3,xchg5py0,chg5py0,xchg5py1,chg5py1,xchg5py2,chg5py2,xchg5py3,chg5py3,xchg6py0,chg6py0,xchg6py1,chg6py1,xchg6py2,chg6py2,xchg6py3,chg6py3,xchg7py0,chg7py0,xchg7py1,chg7py1,xchg7py2,chg7py2,xchg7py3,chg7py3,xchg8py0,chg8py0,xchg8py1,chg8py1,xchg8py2,chg8py2,xchg8py3,chg8py3,xchg9py0,chg9py0,xchg9py1,chg9py1,xchg9py2,chg9py2,xchg9py3,chg9py3,cipcode2,xciptui2,ciptuit2,xcipsup2,cipsupp2,xciplgt2,ciplgth2,prgmsr2,xmthcmp2,mthcmp2,cipcode3,xciptui3,ciptuit3,xcipsup3,cipsupp3,xciplgt3,ciplgth3,prgmsr3,xmthcmp3,mthcmp3,cipcode4,xciptui4,ciptuit4,xcipsup4,cipsupp4,xciplgt4,ciplgth4,prgmsr4,xmthcmp4,mthcmp4,cipcode5,xciptui5,ciptuit5,xcipsup5,cipsupp5,xciplgt5,ciplgth5,prgmsr5,xmthcmp5,mthcmp5,cipcode6,xciptui6,ciptuit6,xcipsup6,cipsupp6,xciplgt6,ciplgth6,prgmsr6,xmthcmp6,mthcmp6
101277,2,12.0401,A,,A,,R,1500,1,R,12,R,47,R,900,R,28,R,10050,R,10050,R,10050,R,11040,R,1819,R,1965,R,1983,R,2503,A,,A,,A,,A,,A,,A,,A,,A,,R,10822,R,6897,R,8695,R,11268,R,7391,R,8084,R,7673,R,7978,R,4465,R,8202,R,6956,R,7508,12.0413,R,2150,R,815,R,650,1,R,7,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,
102711,11,47.0605,A,,A,,R,1346,1,R,10,R,40,R,900,R,26,R,3025,R,3250,R,3490,R,3490,R,3719,R,3719,R,4099,R,4999,R,7800,R,8390,R,9030,R,9030,R,1500,R,1750,R,2000,R,2000,R,17000,R,17500,R,18500,R,18500,R,1500,R,1750,R,2000,R,2000,R,1500,R,1750,R,2000,R,2000,47.0605,R,3490,R,4936,R,1246,1,R,9,48.0508,R,3490,R,5164,R,1120,1,R,9,52.0401,R,3490,R,1326,R,1246,1,R,9,11.0401,R,3490,R,2815,R,1254,1,R,10,12.0504,R,3490,R,4012,R,1351,1,R,9
103501,9,51.0801,A,,A,,R,46,2,R,10,R,40,R,30,R,30,R,14965,R,15315,R,15340,R,15340,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,14950,R,14660,R,13030,R,12240,R,6970,R,9470,R,8410,R,7410,R,6970,R,9470,R,8410,R,7410,51.0713,R,11771,A,,R,34,2,R,11,51.3501,R,15270,A,,R,48,2,R,10,51.1009,R,9930,A,,R,27,2,R,7,52.0305,R,24395,A,,R,66,2,R,15,52.1001,R,24395,A,,R,66,2,R,15
103741,2,12.0401,A,,A,,R,1600,1,R,12,R,46,R,900,R,26,R,16750,R,17424,R,19200,R,19200,R,2350,R,2750,R,2750,R,2750,A,,A,,A,,A,,A,,A,,A,,A,,R,8855,R,8959,R,8890,R,9350,R,7544,R,7636,R,7889,R,8292,R,7544,R,7636,R,7889,R,8292,12.0413,R,3500,R,300,R,350,1,R,3,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,
103811,4,49.0205,A,,A,,R,24,2,R,6,R,24,R,36,R,30,R,9450,R,9570,R,9570,R,9570,R,320,R,320,R,320,R,320,A,,A,,A,,A,,A,,A,,A,,A,,R,8310,R,6900,R,6120,R,6120,R,4158,R,3846,R,4116,R,4116,R,4158,R,3846,R,4116,R,4116,49.0205,R,7410,R,320,R,400,1,R,2,49.0205,R,6950,R,320,R,360,1,R,4,49.0205,R,3900,R,320,R,160,1,R,1,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,
103893,8,51.0801,A,,A,,R,36,2,R,9,R,36,R,24,R,36,R,14265,R,14128,R,14322,R,14322,R,679,R,1005,R,640,R,640,A,,A,,A,,A,,A,,A,,A,,A,,R,11970,R,12492,R,13293,R,13779,R,4167,R,4158,R,4239,R,4248,R,4284,R,4284,R,4374,R,4365,51.0601,R,14322,R,610,R,36,2,R,9,51.0808,R,12462,R,740,R,29,2,R,9,51.0714,R,13092,R,994,R,36,2,R,9,51.0001,R,12760,R,360,R,60,2,R,11,51.0716,R,13092,R,710,R,36,2,R,9
103909,11,51.0801,A,,A,,R,36,2,R,9,R,36,R,24,R,36,R,14265,R,14128,R,14322,R,14322,R,679,R,1005,R,640,R,640,A,,A,,A,,A,,A,,A,,A,,A,,R,11970,R,12492,R,13293,R,13779,R,4167,R,4158,R,4239,R,4248,R,4284,R,4284,R,4374,R,4365,51.0602,R,55015,R,5552,R,83,2,R,20,51.0808,R,12462,R,740,R,29,2,R,9,51.0601,R,14322,R,610,R,36,2,R,9,51.0714,R,13092,R,994,R,36,2,R,9,51.0806,R,38529,R,1560,R,74,2,R,20
103927,10,51.0801,A,,A,,R,36,2,R,9,R,36,R,24,R,36,R,14265,R,14128,R,14322,R,14322,R,679,R,1005,R,640,R,640,A,,A,,A,,A,,A,,A,,A,,A,,R,11970,R,12492,R,13293,R,13779,R,4185,R,4158,R,4239,R,4248,R,4284,R,4284,R,4374,R,4365,51.0601,R,14322,R,610,R,36,2,R,9,51.0808,R,12462,R,740,R,29,2,R,9,51.0714,R,13092,R,994,R,36,2,R,9,43.0109,R,13300,R,755,R,33,2,R,9,51.2604,R,12462,R,777,R,29,2,R,9
103954,3,12.0401,A,,A,,R,1600,1,R,13,R,52,R,900,R,30,R,14500,R,14500,R,14500,R,14500,R,1100,R,1150,R,1150,R,1150,A,,A,,A,,A,,A,,A,,A,,A,,R,13572,R,8047,R,8541,R,9165,R,11570,R,9906,R,7930,R,9568,R,8164,R,6344,R,6370,R,4914,12.041,R,3850,R,1200,R,600,1,R,5,12.0413,R,4475,R,300,R,350,1,R,3,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,
103963,4,48.0508,A,,A,,R,960,1,R,10,R,40,R,900,R,36,R,19220,R,19220,R,19220,R,19220,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,A,,R,9610,R,9800,R,10000,R,10200,R,10520,R,10730,R,10940,R,11160,R,10520,R,10730,R,10940,R,11160,47.0604,R,24000,R,0,R,1000,1,R,13,47.0605,R,24000,R,0,R,1000,1,R,13,47.0201,R,19220,R,0,R,900,1,R,10,-2.0,A,,A,,A,,-2,A,,-2.0,A,,A,,A,,-2,A,
