ope id,institution name,trade name,city,state,institution type,status,approval date
"""00247700""",A. T. STILL UNIVERSITY OF HEALTH SCIENCES,,Kirksville,MO,Main Location,,11/17/2014 6:49
"""00247700""",A. T. STILL UNIVERSITY OF HEALTH SCIENCES,,Kirksville,MO,Additional Location,,11/17/2014 6:49
"""00247701""",A. T. STILL UNIVERSITY OF HEALTH SCIENCES - ARIZONA SCHOOL OF DENTAL A,,Mesa,AZ,Additional Location,,11/17/2014 6:49
"""00247702""",A. T. STILL UNIVERSITY OF HEALTH SCIENCES - COLLEGE OF GRADUATE HEALTH,,Kirksville,MO,Additional Location,,11/17/2014 6:49
"""04242600""",ABCO TECHNOLOGY,,Los Angeles,CA,Main Location,,10/12/2016 14:05
"""04242600""",ABCO TECHNOLOGY,,Los Angeles,CA,Additional Location,,10/12/2016 14:05
"""00154100""",ABRAHAM BALDWIN AGRICULTURAL COLLEGE,,Tifton,GA,Main Location,,08/14/2014 19:58
"""00154100""",ABRAHAM BALDWIN AGRICULTURAL COLLEGE,,Tifton,GA,Additional Location,,08/14/2014 19:58
"""00154102""",ABRAHAM BALDWIN AGRICULTURAL COLLEGE - ON THE SQUARE,,Moultrie,GA,Additional Location,,08/14/2014 19:58
"""04243800""",ABRAHAM LINCOLN UNIVERSITY,,Los Angeles,CA,Main Location,,09/24/2014 20:11
"""04243800""",ABRAHAM LINCOLN UNIVERSITY,,Los Angeles,CA,Additional Location,,09/24/2014 20:11
"""02050300""",ACADEMY COLLEGE,"Academy Education Center, Inc",Bloomington,MN,Main Location,,07/03/2014 15:06
"""02050300""",ACADEMY COLLEGE,,Bloomington,MN,Additional Location,,07/03/2014 15:06
"""00753100""",ACADEMY OF ART UNIVERSITY,,San Francisco,CA,Main Location,,07/24/2014 14:37
"""00753100""",ACADEMY OF ART UNIVERSITY,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753101""",ACADEMY OF ART UNIVERSITY-,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753102""",ACADEMY OF ART UNIVERSITY-,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753103""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753104""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753105""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753106""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753107""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753108""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753109""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753110""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753111""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753112""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753113""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""00753114""",ACADEMY OF ART UNIVERSITY -,,San Francisco,CA,Additional Location,,07/24/2014 14:37
"""04212100""",ACADEMY OF SALON PROFESSIONALS,"Academy of Salon Professionals, LLC",Sedalia,MO,Main Location,,06/18/2014 10:51
"""04212100""",ACADEMY OF SALON PROFESSIONALS,,Sedalia,MO,Additional Location,,06/18/2014 10:51
