va_facility_code,va_facility_name,school_level_va,retention_rate_veteran_ba,retention_rate_veteran_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,transfer_out_rate_veteran
21907103,UNIVERSITY OF PHOENIX-ONLINE CAMPUS,4-year,0.755,0.767,0.865,0.85,,
21913148,AMERICAN PUBLIC UNIVERSITY SYSTEM,4-year,0.791,0.721,0.875,0.843,,
11801720,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE,4-year,0.751,0.702,0.839,0.851,,
21000415,ASHFORD UNIVERSITY-ON LINE,4-year,0.855,0.667,0.871,1.0,,
31926246,LIBERTY UNIVERSITY,4-year,0.86,0.844,0.91,0.883,,
21060410,KAPLAN UNIVERSITY-FT LAUDERDALE,4-year,0.814,0.778,0.907,0.889,,
21911801,COLUMBIA SOUTHERN UNIVERSITY,4-year,0.894,0.854,0.912,0.922,,
14806143,CENTRAL TEXAS COLLEGE MAIN CAMPUS,2-year,,0.622,,0.824,0.0,0.613
21006103,GRAND CANYON UNIVERSITY,4-year,0.767,,0.907,,,
21125916,GRANTHAM UNIVERSITY,4-year,0.364,0.317,0.927,0.861,,
31805629,SOUTHERN NEW HAMPSHIRE UNIVERSITY,4-year,0.851,0.923,0.917,1.0,,
31939105,NATIONAL UNIVERSITY-SAN DIEGO,4-year,0.814,0.835,0.94,0.899,,
11905103,ARIZONA STATE UNIVERSITY-TEMPE,4-year,0.817,,0.893,,,
21809306,COLORADO TECHNICAL UNIVERSITY-ONLINE,4-year,0.784,0.6,0.919,0.8,,
21891605,UNIVERSITY OF PHOENIX-SOUTHERN CALIFORNIA CAMPUS,4-year,0.857,,0.936,,,
31002144,WESTERN GOVERNORS UNIVERSITY,4-year,0.964,,0.964,,,
21805113,DEVRY UNIVERSITY ONLINE,4-year,0.787,0.842,0.862,0.895,,
21970110,FULL SAIL UNIVERSITY,4-year,0.857,0.833,0.916,0.833,,
21891705,UNIVERSITY OF PHOENIX-SAN DIEGO CAMPUS,4-year,0.857,,0.936,,,
11969110,FLORIDA STATE COLLEGE AT JACKSONVILLE,4-year,0.0,0.885,1.0,0.934,,
14977443,AUSTIN COMMUNITY COLLEGE DISTRICT,2-year,,0.768,,0.886,0.0,0.524
14930246,NORTHERN VIRGINIA COMMUNITY COLLEGE-ANNANDALE,2-year,0.0,0.811,0.0,0.913,0.011,0.774
11900146,OLD DOMINION UNIVERSITY,4-year,0.784,0.667,0.91,0.667,,
14932406,PIKES PEAK COMMUNITY COLLEGE,2-year,,0.838,,0.919,0.019,0.497
31905132,EXCELSIOR COLLEGE,4-year,0.866,0.912,0.915,0.971,,
14919433,FAYETTEVILLE TECHNICAL COMMUNITY COLLEGE,2-year,,0.75,,0.856,0.012,0.424
21014023,CAPELLA UNIVERSITY,4-year,0.818,,0.818,,,
14973443,SAN ANTONIO COLLEGE,2-year,1.0,0.78,1.0,0.901,0.0,0.533
21008705,TRIDENT UNIVERSITY INTERNATIONAL,4-year,0.78,,0.836,,,
14998443,TARRANT COUNTY COLLEGE DISTRICT,2-year,,0.745,,0.849,0.064,0.406
21013723,WALDEN UNIVERSITY,4-year,0.8,0.8,0.84,1.0,,
21891505,UNIVERSITY OF PHOENIX-BAY AREA CAMPUS,4-year,0.857,,0.936,,,
14916446,TIDEWATER COMMUNITY COLLEGE-VIRGINIA BEACH,2-year,,0.634,,0.869,0.066,0.573
14974443,LONE STAR COLLEGE SYSTEM,2-year,,0.814,,0.9,0.063,0.427
119G2143,THE UNIVERSITY OF TEXAS AT SAN ANTONIO,4-year,0.848,1.0,0.924,1.0,,
11939138,PENNSYLVANIA STATE UNIVERSITY-MAIN CAMPUS,4-year,0.892,0.643,0.931,0.643,,
11800001,TROY UNIVERSITY,4-year,0.779,0.474,0.842,0.526,,
119D9143,TEXAS STATE UNIVERSITY,4-year,0.895,,0.93,,,
11922146,GEORGE MASON UNIVERSITY,4-year,0.822,0.0,0.844,0.0,,
14929410,VALENCIA COLLEGE,2-year,0.0,0.74,1.0,0.904,0.213,0.412
11821010,UNIVERSITY OF SOUTH FLORIDA-MAIN CAMPUS,4-year,0.902,0.0,0.961,0.0,,
21953346,ECPI UNIVERSITY,4-year,0.859,0.789,0.945,0.883,,
11955110,UNIVERSITY OF CENTRAL FLORIDA,4-year,0.968,1.0,1.0,1.0,,
21805413,AMERICAN INTERCONTINENTAL UNIVERSITY-ONLINE,4-year,0.4,1.0,0.6,1.0,,
11800120,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE-EUROPEAN DIVISION,4-year,0.751,0.702,0.839,0.851,,
11513535,OHIO STATE UNIVERSITY-MAIN CAMPUS,4-year,0.875,1.0,0.903,1.0,,
11008243,UNIVERSITY OF NORTH TEXAS,4-year,0.782,,0.857,,,
31806810,EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-ONLINE,4-year,0.832,0.683,0.903,0.857,,
149G8143,EL PASO COMMUNITY COLLEGE,2-year,,0.662,,0.818,0.047,0.588
11000643,THE UNIVERSITY OF TEXAS AT ARLINGTON,4-year,0.803,,0.939,,,
14805110,HILLSBOROUGH COMMUNITY COLLEGE-COLLABORATION STUDIO,2-year,,0.723,,0.896,0.042,0.615
11802706,UNIVERSITY OF COLORADO-COLORADO SPRINGS,4-year,0.84,1.0,0.908,1.0,,
31001527,BELLEVUE UNIVERSITY,4-year,0.886,1.0,0.904,1.0,,
149H9143,NORTHWEST VISTA COLLEGE,2-year,,0.83,,0.9,0.0,0.746
11850110,ST PETERSBURG COLLEGE - CLEARWATER,4-year,0.333,0.425,0.667,0.858,,
14961443,HOUSTON COMMUNITY COLLEGE,2-year,,0.745,,0.89,0.015,0.515
14981405,PALOMAR COLLEGE,2-year,1.0,0.8,1.0,0.966,0.0,0.547
14933433,COASTAL CAROLINA COMMUNITY COLLEGE,2-year,,0.804,,0.882,0.0,0.566
11000901,UNIVERSITY OF ALABAMA,4-year,0.793,,0.862,,,
14906437,PORTLAND COMMUNITY COLLEGE,2-year,,0.822,,0.908,0.11,0.417
11880042,AUSTIN PEAY STATE UNIVERSITY,4-year,0.739,0.625,0.82,0.75,,
21000411,SOUTH UNIVERSITY-SAVANNAH,4-year,0.833,0.929,0.917,0.929,,
11910105,SAN DIEGO STATE UNIVERSITY,4-year,0.891,0.0,0.957,0.0,,
11014143,THE UNIVERSITY OF TEXAS AT EL PASO,4-year,0.915,,0.972,,,
14915440,TRIDENT TECHNICAL COLLEGE,2-year,,0.725,,0.808,0.148,0.361
31924138,VILLANOVA UNIVERSITY,4-year,0.0,0.48,0.0,0.52,,
11904102,UNIVERSITY OF ALASKA ANCHORAGE,4-year,0.712,0.8,0.827,0.886,,
11908028,COLLEGE OF SOUTHERN NEVADA,4-year,,0.711,,0.86,,
21113905,ALLIED AMERICAN UNIVERSITY,4-year,0.875,0.682,0.875,0.848,,
11028943,TEXAS A & M UNIVERSITY-COLLEGE STATION,4-year,0.871,,1.0,,,
14913440,MIDLANDS TECHNICAL COLLEGE,2-year,,0.81,,0.828,0.1,0.529
21002444,STRAYER UNIVERSITY-ONLINE-SALT LAKE CITY,4-year,0.808,0.875,0.933,0.938,,
31712164,HAWAII PACIFIC UNIVERSITY,4-year,0.824,0.857,0.912,0.964,,
11903103,UNIVERSITY OF ARIZONA,4-year,0.773,,0.864,,,
11801140,UNIVERSITY OF SOUTH CAROLINA-COLUMBIA,4-year,0.893,1.0,1.0,1.0,,
11011006,COLORADO STATE UNIVERSITY-FT COLLINS,4-year,0.857,1.0,0.948,1.0,,
11015043,UNIVERSITY OF HOUSTON,4-year,0.814,,0.898,,,
14989405,SAN DIEGO MESA COLLEGE,2-year,1.0,0.712,1.0,0.896,0.01,0.84
11805042,MIDDLE TENNESSEE STATE UNIVERSITY,4-year,0.874,,0.908,,,
14931443,ST PHILIP'S COLLEGE,2-year,1.0,0.652,1.0,0.826,0.0,0.606
24805538,THE ART INSTITUTE OF PITTSBURGH-ONLINE DIVISION,2-year,0.625,0.711,0.736,0.789,0.036,0.327
11963110,UNIVERSITY OF WEST FLORIDA,4-year,0.891,,0.935,,,
11905146,VIRGINIA COMMONWEALTH UNIVERSITY,4-year,0.852,,0.926,,,
14986410,BROWARD COLLEGE,2-year,1.0,0.82,1.0,0.95,0.059,0.525
119A9110,NORTHWEST FLORIDA STATE COLLEGE,4-year,0.833,0.792,1.0,0.892,,
28153910,UNIVERSAL TECHNICAL INSTITUTE-AUTO MOTORCYCLE & MARINE MECHANICS INSTITUTE,NCD,,0.839,,0.896,,
119C7110,PENSACOLA STATE COLLEGE,4-year,,0.852,,0.914,,
21915164,UNIVERSITY OF PHOENIX-HAWAII CAMPUS,4-year,0.824,,0.92,,,
11801128,UNIVERSITY OF NEVADA LAS VEGAS,4-year,0.844,0.5,0.969,0.5,,
14903431,CENTRAL NEW MEXICO COMMUNITY COLLEGE,2-year,,0.929,,0.929,0.125,0.5
149C1443,SAN JACINTO COMMUNITY COLLEGE,2-year,1.0,0.759,1.0,0.845,0.0,0.443
11900116,KANSAS STATE UNIVERSITY,4-year,0.764,,0.899,,,
11801136,UNIVERSITY OF OKLAHOMA-NORMAN CAMPUS,4-year,0.685,,0.778,,,
11808133,EAST CAROLINA UNIVERSITY,4-year,0.769,,0.923,,,
21809106,COLORADO TECHNICAL UNIVERSITY-COLORADO SPRINGS,4-year,0.831,0.765,0.949,0.941,,
11516135,UNIVERSITY OF CINCINNATI-MAIN CAMPUS,4-year,0.871,0.673,0.935,0.788,,
14908446,THOMAS NELSON COMMUNITY COLLEGE,2-year,,0.609,,0.891,0.0,0.62
14908403,MESA COMMUNITY COLLEGE,2-year,,0.754,,0.89,0.0,0.639
11903106,METROPOLITAN STATE UNIVERSITY OF DENVER,4-year,0.838,,0.939,,,
14921105,MIRACOSTA COLLEGE,2-year,0.824,0.611,0.922,0.846,0.025,0.667
11919137,PORTLAND STATE UNIVERSITY,4-year,0.808,,0.936,,,
11916137,OREGON STATE UNIVERSITY,4-year,0.878,,0.939,,,
149E5435,COLUMBUS STATE COMMUNITY COLLEGE,2-year,,0.828,,0.875,0.009,0.411
11029843,THE UNIVERSITY OF TEXAS AT AUSTIN,4-year,0.842,,0.947,,,
14920447,PIERCE COLLEGE AT FT STEILACOOM,2-year,,0.764,,0.897,0.035,0.56
31817446,SAINT LEO UNIVERSITY-SOUTH HAMPTON ROADS CENTER,4-year,0.836,0.809,0.913,0.855,,
11010411,KENNESAW STATE UNIVERSITY,4-year,0.838,,0.932,,,
31005443,UNIVERSITY OF THE INCARNATE WORD,4-year,0.866,1.0,0.902,1.0,,
11800131,UNIVERSITY OF NEW MEXICO-MAIN CAMPUS,4-year,0.816,0.5,0.895,1.0,,
11000449,UNIVERSITY OF WISCONSIN-MILWAUKEE,4-year,0.901,,0.944,,,
11017310,FLORIDA INTERNATIONAL UNIVERSITY,4-year,0.75,,0.875,,,
11917117,EASTERN KENTUCKY UNIVERSITY,4-year,0.889,0.6,0.926,1.0,,
11003136,CAMERON UNIVERSITY,4-year,0.788,0.909,0.909,1.0,,
11991112,BOISE STATE UNIVERSITY,4-year,0.776,,0.851,,,
11800220,UNIVERSITY OF MARYLAND-UNIVERSITY COLLEGE-ASIAN DIVISION,4-year,0.751,0.702,0.839,0.851,,
14904403,PIMA COMMUNITY COLLEGE,2-year,,0.58,,0.773,0.028,0.542
11030043,TEXAS TECH UNIVERSITY,4-year,0.772,,0.877,,,
11901133,UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,4-year,0.927,,0.945,,,
11904130,THOMAS EDISON STATE COLLEGE,4-year,0.78,0.538,0.835,0.615,,
119D1110,EASTERN FLORIDA STATE COLLEGE,4-year,,0.767,,0.8,,
14910427,METROPOLITAN COMMUNITY COLLEGE,2-year,,0.794,,0.921,0.024,0.488
11909111,GEORGIA STATE UNIVERSITY,4-year,0.816,,0.918,,,
14945405,SOUTHWESTERN COLLEGE,2-year,0.842,0.763,0.895,0.816,0.0,0.582
11805047,UNIVERSITY OF WASHINGTON-SEATTLE CAMPUS,4-year,0.971,0.5,0.971,0.5,,
11000201,AUBURN UNIVERSITY,4-year,0.824,,0.941,,,
14970405,GROSSMONT COLLEGE,2-year,,0.669,,0.897,0.0,0.698
11839010,MIAMI-DADE COLLEGE-KENDALL CAMPUS,4-year,0.5,0.802,0.5,0.914,,
11807047,WASHINGTON STATE UNIVERSITY,4-year,0.773,1.0,0.932,1.0,,
14921433,WAKE TECHNICAL COMMUNITY COLLEGE,2-year,,0.818,,0.909,0.08,0.402
14902420,ANNE ARUNDEL COMMUNITY COLLEGE,2-year,,0.754,,0.862,0.0,0.533
11801427,UNIVERSITY OF NEBRASKA AT OMAHA,4-year,0.818,,0.935,,,
11012606,COLORADO STATE UNIVERSITY-GLOBAL CAMPUS,4-year,0.763,0.0,0.814,0.0,,
31801008,WILMINGTON UNIVERSITY,4-year,0.85,0.8,0.875,0.9,,
31500925,WEBSTER UNIVERSITY,4-year,0.708,0.0,0.792,0.0,,
14907403,GLENDALE COMMUNITY COLLEGE,2-year,,0.741,,0.882,0.11,0.538
11802506,UNIVERSITY OF COLORADO DENVER,4-year,0.846,1.0,0.954,1.0,,
11903414,INDIANA UNIVERSITY-PURDUE UNIVERSITY-INDIANAPOLIS,4-year,0.846,0.5,0.908,0.5,,
11800048,WEST VIRGINIA UNIVERSITY,4-year,0.811,0.714,0.892,0.714,,
31505105,UNIVERSITY OF SOUTHERN CALIFORNIA,4-year,1.0,0.0,1.0,0.0,,
