Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Tuition and Fees Cost, Number of payments 
31100968,AMERICAN UNIVERSITY IN CAIRO,,Africa,1,Private non-profit,Tuition & Fees,14413.46,1
21000368,GEU L'ACADEMIE,,Africa,1,Private profit,Tuition & Fees,18855.9,1
11200068,IMO STATE UNIVERSITY,,Africa,1,Public,Tuition & Fees,65840.95,4
21000068,INTERNATIONAL UNIVERSITY OF EAST AFRICA,,Africa,1,Private profit,Tuition & Fees,1288.16,1
31000168,KAMPALA INTERNATIONAL UNIVERSITY,,Africa,1,Private non-profit,Tuition & Fees,15507.16,3
11300168,KOFORIDUA POLYTECHNIC,,Africa,1,Public,Tuition & Fees,497.02,2
11100568,STELLENBOSCH UNIVERSITY,,Africa,1,Public,Tuition & Fees,2424.11,1
11000168,UNIVERSITY OF CAPE TOWN,,Africa,1,Public,Tuition & Fees,4575.16,2
31100568,US INTERNATIONAL UNIVERSITY,,Africa,2,Private non-profit,Tuition & Fees,8590.36,5
25048501,AFFORDABLE TRUCK DRIVER TRAINING,Alabama,USA,11,Private profit,Tuition & Fees,73704.5,11
11901101,ALABAMA A & M UNIVERSITY,Alabama,USA,93,Public,Tuition & Fees,579295.29,155
31012201,ALABAMA COLLEGE OF OSTEOPATHIC MEDICINE,Alabama,USA,7,Private non-profit,Tuition & Fees,136044.82,7
15078501,ALABAMA FIRE COLLEGE,Alabama,USA,16,Public,Tuition & Fees,13636.4,22
13901101,ALABAMA STATE UNIVERSITY,Alabama,USA,84,Public,Tuition & Fees,539523.19,155
25030701,AMERICAN TRUCK DRIVING ACADEMY INC,Alabama,USA,2,Private profit,Tuition & Fees,7900.0,2
31904401,AMRIDGE UNIVERSITY,Alabama,USA,39,Private non-profit,Tuition & Fees,247763.35,79
25080801,ARC PRO INC-PIPE WELDING SCHOOL,Alabama,USA,10,Private profit,Tuition & Fees,84599.77,12
11000301,ATHENS STATE UNIVERSITY,Alabama,USA,99,Public,Tuition & Fees,421734.92,231
11000201,AUBURN UNIVERSITY,Alabama,USA,880,Public,Tuition & Fees,8186543.48,1848
11802101,AUBURN UNIVERSITY AT MONTGOMERY,Alabama,USA,263,Public,Tuition & Fees,1622354.23,539
15077501,"AUBURN UNIVERSITY, AVIATION CENTER, PROFESSIONAL FLIGHT",Alabama,USA,3,Public,Tuition & Fees,6635.34,6
25080901,AVEDA INSTITUTE BIRMINGHAM,Alabama,USA,3,Private profit,Tuition & Fees,38257.99,3
14002601,BEVILL STATE COMMUNITY COLLEGE-FAYETTE,Alabama,USA,20,Public,Tuition & Fees,53886.9,48
14924401,BEVILL STATE COMMUNITY COLLEGE-HAMILTON,Alabama,USA,15,Public,Tuition & Fees,39492.15,31
14001401,BEVILL STATE COMMUNITY COLLEGE-JASPER,Alabama,USA,14,Public,Tuition & Fees,38140.4,28
14933401,BEVILL STATE COMMUNITY COLLEGE-SUMITON,Alabama,USA,32,Public,Tuition & Fees,101107.4,60
25076501,BIRMINGHAM SCHOOL OF MASSAGE,Alabama,USA,1,Private profit,Tuition & Fees,7365.19,1
31000401,BIRMINGHAM SOUTHERN COLLEGE,Alabama,USA,24,Private non-profit,Tuition & Fees,248040.59,32
31905801,BIRMINGHAM THEOLOGICAL SEMINARY,Alabama,USA,2,Private non-profit,Tuition & Fees,1263.11,3
14501101,BISHOP STATE COMMUNITY COLLEGE,Alabama,USA,82,Public,Tuition & Fees,193194.53,189
14801301,BISHOP STATE COMMUNITY COLLEGE-CARVER CAMPUS,Alabama,USA,3,Public,Tuition & Fees,6068.0,3
14801201,BISHOP STATE COMMUNITY COLLEGE-SW CAMPUS,Alabama,USA,8,Public,Tuition & Fees,11011.2,11
25030901,BLUE CLIFF CAREER COLLEGE,Alabama,USA,2,Private profit,Tuition & Fees,22024.0,6
25054101,BROWN BEAUTY BARBER SCHOOL,Alabama,USA,1,Private profit,Tuition & Fees,9800.0,1
21960101,BROWN MACKIE COLLEGE-BIRMINGHAM,Alabama,USA,13,Private profit,Tuition & Fees,66254.2,54
14918401,CALHOUN COMMUNITY COLLEGE - DECATUR,Alabama,USA,328,Public,Tuition & Fees,711572.31,728
14918801,CALHOUN COMMUNITY COLLEGE - HUNTSVILLE,Alabama,USA,191,Public,Tuition & Fees,319165.87,308
14800201,CENTRAL ALABAMA COMMUNITY COLLEGE - TALLADEGA CENTER CAMPUS,Alabama,USA,4,Public,Tuition & Fees,12608.46,10
14002301,CENTRAL ALABAMA COMMUNITY COLLEGE-ALEXANDER CITY,Alabama,USA,13,Public,Tuition & Fees,29435.02,26
14925401,CENTRAL ALABAMA COMMUNITY COLLEGE-CHILDERSBURG,Alabama,USA,16,Public,Tuition & Fees,41253.46,31
14943001,CENTRAL TEXAS COLLEGE-FORT RUCKER,Alabama,USA,8,Public,Tuition & Fees,10592.0,15
14909001,CHATTAHOOCHEE VALLEY COMMUNITY COLLEGE,Alabama,USA,216,Public,Tuition & Fees,579575.51,532
14002401,COASTAL ALABAMA COMMUNITY COLLEGE - BREWTON CAMPUS,Alabama,USA,7,Public,Tuition & Fees,13916.8,10
14801801,COASTAL ALABAMA COMMUNITY COLLEGE-ATMORE,Alabama,USA,6,Public,Tuition & Fees,16989.6,13
14001501,COASTAL ALABAMA COMMUNITY COLLEGE-BAY MINETTE,Alabama,USA,113,Public,Tuition & Fees,261205.91,247
14800101,COASTAL ALABAMA COMMUNITY COLLEGE-FAIRHOPE CAMPUS,Alabama,USA,23,Public,Tuition & Fees,36332.16,32
14004001,COASTAL ALABAMA COMMUNITY COLLEGE-GILBERTTOWN CAMPUS,Alabama,USA,2,Public,Tuition & Fees,3676.0,2
14800001,COASTAL ALABAMA COMMUNITY COLLEGE-GULF SHORES CAMPUS,Alabama,USA,18,Public,Tuition & Fees,32104.7,23
14001901,COASTAL ALABAMA COMMUNITY COLLEGE-MONROEVILLE CAMPUS,Alabama,USA,5,Public,Tuition & Fees,9744.83,8
14921401,COASTAL ALABAMA COMMUNITY COLLEGE-THOMASVILLE,Alabama,USA,14,Public,Tuition & Fees,30791.42,24
11001901,COLUMBIA COLLEGE- REDSTONE ARSENAL,Alabama,USA,109,Public,Tuition & Fees,517978.96,402
21911801,COLUMBIA SOUTHERN UNIVERSITY,Alabama,USA,3817,Private profit,Tuition & Fees,11722177.18,11639
34907101,CONCORDIA COLLEGE ALABAMA,Alabama,USA,2,Private non-profit,Tuition & Fees,3506.67,4
