Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Total cost, Number of payments 
XXXXXXXX,Unknown,UNKNOWN,,400,Unknown,Yellow Ribbon,"$375,585.15 ",435
31P01832,FORDHAM UNIVERSITY COLLEGE OF LIBERAL STUDIES WESTCHESTER,New York,USA,10,Private non-profit,Yellow Ribbon,43034.64,13
149C4438,BUCKS COUNTY COMMUNITY COLLEGE,Pennsylvania,USA,2,Public,Yellow Ribbon,5060,3
218A0032,BRYANT & STRATTON COLLEGE-AMHERST,New York,USA,6,Private profit,Yellow Ribbon,9810.67,11
219A3110,RASMUSSEN COLLEGE-OCALA,Florida,USA,2,Private profit,Yellow Ribbon,2110.24,3
219A4110,RASMUSSEN COLLEGE-FT MYERS,Florida,USA,1,Private profit,Yellow Ribbon,152.33,1
219B0138,CENTRAL PENN COLLEGE,Pennsylvania,USA,7,Private profit,Yellow Ribbon,8381.65,8
219B2138,DEVRY UNIVERSITY-PENNSYLVANIA,Pennsylvania,USA,5,Private profit,Yellow Ribbon,9029.95,6
219B3110,STRAYER UNIVERSITY-SAND LAKE,Florida,USA,1,Private profit,Yellow Ribbon,167.33,1
219C1110,STRAYER UNIVERSITY-MIRAMAR,Florida,USA,1,Private profit,Yellow Ribbon,3000,1
219C4110,RASMUSSEN COLLEGE-TAMPA,Florida,USA,2,Private profit,Yellow Ribbon,102.66,2
219D4110,NEW YORK FILM ACADEMY-SOUTH BEACH,Florida,USA,9,Private profit,Yellow Ribbon,57836.36,17
219L1143,UNIVERSITY OF PHOENIX-HOUSTON CAMPUS,Texas,USA,1,Private profit,Yellow Ribbon,534.52,1
219L6143,VISTA COLLEGE LUBBOCK,Texas,USA,4,Private profit,Yellow Ribbon,3484.65,4
219M4543,THE ART INSTITUTE OF DALLAS,Texas,USA,1,Private profit,Yellow Ribbon,165.92,1
249B3410,CONCORDE CAREER INSTITUTE-JACKSONVILLE,Florida,USA,3,Private profit,Yellow Ribbon,1764.31,3
249B3443,THE ART INSTITUTE OF HOUSTON,Texas,USA,3,Private profit,Yellow Ribbon,1721.99,3
249C8410,CONCORDE CAREER INSTITUTE-TAMPA,Florida,USA,1,Private profit,Yellow Ribbon,645.59,1
249C9410,AVIATOR COLLEGE OF AERONAUTICAL SCIENCE AND TECHNOLOGY,Florida,USA,8,Private profit,Yellow Ribbon,55808.7,14
249D0410,CONCORDE CAREER INSTITUTE-ORLANDO,Florida,USA,1,Private profit,Yellow Ribbon,2.32,1
249G7143,VISTA COLLEGE EL PASO,Texas,USA,44,Private profit,Yellow Ribbon,58913.33,74
249M3443,CULINARY INSTITUTE OF AMERICA,Texas,USA,36,Private profit,Yellow Ribbon,174945.09,45
318Z0032,NEW YORK INSTITUTE OF TECHNOLOGY-NYC,New York,USA,27,Private non-profit,Yellow Ribbon,86452,35
319A0138,PEIRCE COLLEGE,Pennsylvania,USA,2,Private non-profit,Yellow Ribbon,1795.1,2
319A3138,KEYSTONE COLLEGE,Pennsylvania,USA,1,Private non-profit,Yellow Ribbon,1568.77,1
319A4138,CHESTNUT HILL COLLEGE,Pennsylvania,USA,8,Private non-profit,Yellow Ribbon,48679.12,10
319A6138,POINT PARK UNIVERSITY,Pennsylvania,USA,21,Private non-profit,Yellow Ribbon,78626.93,32
319A8138,YORK COLLEGE OF PENNSYLVANIA,Pennsylvania,USA,3,Private non-profit,Yellow Ribbon,3649.49,6
319B2138,SAINT JOSEPH'S UNIVERSITY,Pennsylvania,USA,13,Private non-profit,Yellow Ribbon,32303.05,19
319B6132,CANISIUS COLLEGE,New York,USA,16,Private non-profit,Yellow Ribbon,62333.08,23
319B8132,COLLEGE OF MOUNT SAINT VINCENT,New York,USA,3,Private non-profit,Yellow Ribbon,20076.99,4
319C2132,WAGNER COLLEGE,New York,USA,4,Private non-profit,Yellow Ribbon,12876.32,4
319C3132,MOUNT SAINT MARY COLLEGE,New York,USA,7,Private non-profit,Yellow Ribbon,15887.81,7
319C5132,MARYMOUNT MANHATTAN COLLEGE,New York,USA,6,Private non-profit,Yellow Ribbon,8373.83,8
319C8132,THE SAGE COLLEGES,New York,USA,21,Private non-profit,Yellow Ribbon,74023.93,21
