Facility code,Name of institution,State,Country, Number of trainees ,Profit status,Type of payment,Total cost, Number of payments 
XXXXXXXX,Unknown,UNKNOWN,, 400 ,Unknown,Yellow Ribbon,"$375,585.15", 435 
349E1410,Wyotech-Daytona,Florida,, 86 ,Private non-profit,Yellow Ribbon,"$272,956.40", 176 
319Z1138,Widener University-Main Campus,Pennsylvania,, 15 ,Private non-profit,Yellow Ribbon,"$79,387.18", 23 
319M1143,St. Edward'S University,Texas,, 58 ,Private non-profit,Yellow Ribbon,"$186,335.71", 100 
319K9143,Parker University,Texas,, 13 ,Private non-profit,Yellow Ribbon,"$65,874.13", 26 
319H7143,Our Lady Of The Lake University,Texas,, 32 ,Private non-profit,Yellow Ribbon,"$72,692.18", 32 
319H2143,Howard Payne University,Texas,, 25 ,Private non-profit,Yellow Ribbon,"$72,743.20", 32 
319G4143,Southern Methodist University-Dallas,Texas,, 108 ,Private non-profit,Yellow Ribbon,"$833,868.79", 210 
319D4132,Keuka College,New York,, 7 ,Private non-profit,Yellow Ribbon,"$25,189.87", 7 
319D3132,Polytechnic Institute Of New York University,New York,, 20 ,Private non-profit,Yellow Ribbon,"$58,919.45", 28 
319D2132,Metropolitan College Of New York,New York,, 30 ,Private non-profit,Yellow Ribbon,"$84,612.93", 33 
319D1132,The New School,New York,, 28 ,Private non-profit,Yellow Ribbon,"$226,516.38", 40 
319D0132,Ithaca College,New York,, 21 ,Private non-profit,Yellow Ribbon,"$161,352.84", 33 
319C9132,Paul Smiths College Of Arts And Science,New York,, 16 ,Private non-profit,Yellow Ribbon,"$37,613.85", 19 
319C5132,Marymount Manhattan College,New York,, 6 ,Private non-profit,Yellow Ribbon,"$7,152.00", 6 
319C3132,Mount Saint Mary College,New York,, 19 ,Private non-profit,Yellow Ribbon,"$37,918.96", 24 
319C2132,Wagner College,New York,, 8 ,Private non-profit,Yellow Ribbon,"$58,309.94", 9 
319B8132,College Of Mount Saint Vincent,New York,, 4 ,Private non-profit,Yellow Ribbon,"$23,874.96", 5 
319B6132,Canisius College,New York,, 40 ,Private non-profit,Yellow Ribbon,"$299,200.18", 74 
319B5132,New York Medical College,New York,, 1 ,Private non-profit,Yellow Ribbon,"$2,000.00", 1 
319B2138,Saint Joseph'S University,Pennsylvania,, 4 ,Private non-profit,Yellow Ribbon,"$6,834.96", 5 
319A8138,York College Of Pennsylvania,Pennsylvania,, 5 ,Private non-profit,Yellow Ribbon,"$3,537.99", 8 
319A6138,Point Park University,Pennsylvania,, 44 ,Private non-profit,Yellow Ribbon,"$170,797.78", 91 
319A4138,Chestnut Hill College,Pennsylvania,, 12 ,Private non-profit,Yellow Ribbon,"$93,350.14", 18 
319A0138,Peirce College,Pennsylvania,, 5 ,Private non-profit,Yellow Ribbon,"$4,304.40", 6 
318Z0032,New York Institute Of Technology,New York,, 24 ,Private non-profit,Yellow Ribbon,"$42,551.13", 24 
