facility code,distinct count of tuition and fee,tuition and fee payments,tuition and fee total amount,distinct count of yellow ribbon,yellow ribbon payments,yellow ribbon total amount
24903428,,,,1,1,$0.00
24956425,,,,1,1,$414.00
11G00169,1,2,"$3,407.00",,,
14P71638,4,6,"$34,605.00",,,
24A00138,11,24,"$93,153.00",,,
25B00138,1,1,"$16,771.00",,,
25C16638,1,1,"$8,238.00",,,
25P00132,2,7,"$18,315.00",,,
25P01732,18,31,"$97,610.00",,,
25P12338,7,8,"$148,591.00",,,
25P13838,1,1,"$3,850.00",,,
25P20038,2,4,"$6,760.00",,,
25P42538,3,3,"$16,500.00",,,
25P84438,2,2,"$31,480.00",,,
31P01832,29,37,"$186,136.00",6,7,"$32,037.00"
31P40138,4,26,"$40,225.00",,,
32A00832,7,14,"$50,872.00",,,
35P12338,4,4,"$66,300.00",,,
118A0132,147,313,"$841,788.00",,,
119A0132,62,139,"$340,840.00",,,
119A1132,27,46,"$165,065.00",,,
119A2132,58,135,"$446,422.00",,,
119A2143,39,82,"$201,505.00",,,
119A3132,59,113,"$245,200.00",,,
119A4132,35,52,"$173,491.00",,,
119A5110,397,"1,146","$913,385.00",,,
119A6143,112,204,"$897,431.00",,,
119A7110,514,"1,396","$1,096,567.00",,,
119A9110,702,"1,641","$1,513,534.00",,,
119A9138,241,768,"$3,113,758.00",,,
119B2132,68,148,"$393,285.00",,,
119B3232,162,325,"$1,167,677.00",,,
119B7110,387,907,"$824,968.00",,,
119B8110,344,799,"$820,448.00",,,
119B9110,261,661,"$764,072.00",,,
119C0110,496,"1,206","$1,028,588.00",,,
119C7110,806,"1,918","$1,622,907.00",,,
119D0110,63,139,"$121,357.00",,,
119D1110,709,"1,634","$1,490,187.00",,,
119D8143,421,982,"$2,289,922.00",,,
119D9143,"1,286","2,864","$10,716,359.00",,,
119F1443,42,78,"$101,872.00",,,
119F8443,648,"1,395","$5,049,031.00",,,
119G2143,"1,724","3,363","$11,190,756.00",,,
119G3143,390,997,"$1,912,578.00",,,
119H3143,64,112,"$461,600.00",,,
119K5143,230,475,"$1,285,024.00",,,
119K7143,457,"1,001","$2,939,067.00",,,
148A0132,41,100,"$144,485.00",,,
149A0405,456,"1,030","$221,601.00",,,
149A0435,134,339,"$388,738.00",,,
149A1405,171,372,"$114,204.00",,,
149A1432,553,"1,205","$2,326,026.00",,,
149A1443,39,87,"$169,226.00",,,
149A2405,12,17,"$4,631.00",,,
149A2435,35,77,"$113,402.00",,,
149A3405,8,17,"$6,348.00",,,
149A3443,134,301,"$257,583.00",,,
149A4405,80,196,"$53,645.00",,,
149A5405,165,311,"$71,938.00",,,
149A5432,163,313,"$612,715.00",,,
149A6405,15,17,"$3,628.00",,,
149A7432,257,605,"$1,153,601.00",,,
149A8443,44,87,"$100,708.00",,,
149B1432,70,147,"$258,682.00",,,
149B2432,16,27,"$63,314.00",,,
149B3432,173,322,"$654,348.00",,,
149B3438,31,64,"$106,080.00",,,
149B4432,30,55,"$113,211.00",,,
149B5435,39,55,"$88,666.00",,,
149C1443,810,"2,112","$1,467,281.00",,,
149C4438,166,408,"$632,968.00",5,8,"$9,445.00"
149D2435,45,108,"$138,361.00",,,
149D5438,73,151,"$240,283.00",,,
149D7435,234,643,"$741,017.00",,,
149D9435,29,55,"$90,187.00",,,
149E1435,44,119,"$166,378.00",,,
149E2435,68,145,"$201,568.00",,,
149E2443,258,554,"$210,775.00",,,
149E4443,135,268,"$190,955.00",,,
149E5435,599,"1,472","$1,695,168.00",,,
149E5438,238,628,"$979,766.00",,,
149E6435,173,371,"$652,125.00",,,
149E7435,53,146,"$163,601.00",,,
149E9435,40,120,"$152,158.00",,,
149F3443,745,"1,938","$904,457.00",,,
149F4443,398,"1,017","$1,039,749.00",,,
149G4143,60,124,"$87,984.00",,,
149G5143,78,216,"$140,825.00",,,
149G8143,938,"2,371","$1,992,028.00",,,
149H5143,129,237,"$468,240.00",,,
149H9143,"1,261","2,454","$1,506,512.00",,,
149J1143,24,54,"$47,180.00",,,
149J3143,41,87,"$175,825.00",,,
149K4143,503,"1,077","$451,306.00",,,
149M0143,370,933,"$320,389.00",,,
158A0132,3,3,"$29,361.00",,,
158A0832,4,4,"$45,980.00",,,
218A0032,15,45,"$176,206.00",1,2,"$1,914.00"
219A1110,45,172,"$435,033.00",1,2,$919.00
219A3110,70,224,"$664,162.00",2,3,"$2,575.00"
219A4110,34,139,"$340,043.00",,,
219A6110,84,206,"$741,124.00",1,1,$552.00
219B0110,20,40,"$121,353.00",,,
219B0138,84,213,"$923,016.00",5,5,"$4,064.00"
219B1110,2,8,"$14,483.00",,,
219B1138,8,18,"$51,632.00",1,1,$14.00
219B2138,40,131,"$347,267.00",1,1,"$1,566.00"
219B3110,51,107,"$306,903.00",,,
219B4110,45,96,"$288,321.00",,,
219B4138,23,42,"$112,836.00",,,
219B4238,39,74,"$177,414.00",,,
219B5138,29,59,"$156,819.00",1,1,"$1,233.00"
219B6110,99,262,"$432,752.00",1,2,"$1,652.00"
219B6238,11,25,"$82,090.00",,,
219C1110,32,67,"$179,515.00",,,
219C4110,79,305,"$722,934.00",2,2,"$1,123.00"
219C8110,1,7,"$9,305.00",,,
219D4110,18,36,"$408,597.00",18,36,"$156,881.00"
219D5110,27,98,"$386,377.00",,,
219D5210,1,3,"$13,770.00",,,
219D6110,4,9,"$29,988.00",,,
219L0143,218,"1,069","$1,537,798.00",1,1,"$1,017.00"
219L1143,136,687,"$1,019,287.00",,,
219L2143,16,176,"$216,221.00",,,
219L6143,3,13,"$23,314.00",,,
249A1410,1,11,"$4,487.00",,,
249A2410,104,234,"$968,712.00",,,
249A2438,17,58,"$70,109.00",,,
249A3410,5,9,"$26,106.00",,,
249A5410,6,13,"$89,675.00",,,
249A6410,1,2,"$1,728.00",,,
249A8438,14,37,"$124,920.00",,,
249B0432,13,42,"$235,561.00",2,2,"$1,000.00"
249B3410,87,205,"$1,074,766.00",6,8,"$11,791.00"
249B3432,13,32,"$237,543.00",,,
249B6410,14,61,"$157,002.00",,,
249B7438,7,12,"$77,967.00",,,
249B8410,10,47,"$106,137.00",,,
249B8438,3,11,"$10,733.00",,,
249C0435,5,13,"$53,704.00",,,
249C0443,135,867,"$1,290,166.00",,,
249C3410,14,57,"$147,851.00",1,1,"$1,734.00"
249C3435,2,8,"$31,605.00",,,
249C3438,4,10,"$27,493.00",,,
249C4410,14,21,"$100,541.00",,,
249C4435,9,18,"$60,461.00",,,
249C6435,14,90,"$171,144.00",,,
249C6443,337,"1,935","$3,675,921.00",,,
249C8410,25,106,"$318,460.00",1,1,$292.00
249C8438,1,6,"$12,675.00",,,
249C9410,22,55,"$452,081.00",12,21,"$103,167.00"
249D0138,15,52,"$114,436.00",,,
249D0410,14,55,"$152,272.00",1,2,$148.00
249D1438,11,21,"$102,248.00",,,
249D2410,82,299,"$995,025.00",,,
249D3410,7,13,"$76,081.00",,,
249D4435,75,189,"$941,134.00",,,
249D6410,2,11,"$14,099.00",,,
249D8438,9,39,"$71,511.00",,,
249D9410,25,55,"$257,481.00",,,
249E0410,40,99,"$438,205.00",,,
249E0435,7,8,"$82,401.00",,,
249E0438,1,1,"$1,311.00",,,
249E2410,17,53,"$166,308.00",,,
249E2438,2,2,"$15,198.00",,,
249E8410,268,746,"$4,439,501.00",,,
249E8435,25,97,"$218,199.00",,,
249E9410,9,23,"$101,041.00",,,
249F0410,21,33,"$90,522.00",,,
