Facility Code|Institution Name|Program Type|Description|Full Time Undergraduate|Graduate|Full Time Modifier|Length|OJT-APP Type
46000446|AMERICAN BOARD OF OPTICIANRY|IHL|LACAS|0||C||
46002646|NATIONAL BOARD FOR PROFESSIONAL TEACHING STANDARDS|IHL|LACAS|0|0|C||
46001310|NATIONAL ASSOCIATION OF UNDERWATER INSTRUCTORS|IHL|Dummy Program for L and C Processing|0.00||C||
30005621|JAC REFRIGERATION AIR CONDITIONING OIL BURNERS 537|OJT|REFRIGERATION A/C OIL BURNER||||10000|K
30012121|WORCESTER JOINT APPRENTICESHIP AND TRAINING FUND|OJT|ELECTRICIAN||||10000|K
30012921|PLUMBERS AND PIPEFITTERS LOCAL 4 JATC|OJT|PLUMBER|||C|10000|K
30044121|SPRINGFIELD PAINTERS LOCAL 257 JAC|OJT|PAINTER||||6000|K
15052521|MINNECHAUG REGIONAL HIGH|NCD|HIGH SCHOOL DIPLOMA|||S|4 YRS|
10825421|RANDOLPH FIRE DEPARTMENT|OJT|FIRE FIGHTER/EMT||||8000|K
10825621|STONEHAM FIRE DEPARTMENT|OJT|FIRE FIGHTER|||C|8000|K
10825721|WEYMOUTH FIRE DEPARTMENT|OJT|FIRE FIGHTER-EMT|||C|8000|K
10825721|WEYMOUTH FIRE DEPARTMENT|OJT|FIRE FIGHTER-EMT|||C|8000|K
10825721|WEYMOUTH FIRE DEPARTMENT|OJT|FIREFIGHTER|||C|6000|K
10825721|WEYMOUTH FIRE DEPARTMENT|OJT|FIREFIGHTER|||C|6000|K
15044221|CHARLES H MCCANN TECHNICAL SCHOOL|NCD|COSMETOLOGY||||1140|
15044221|CHARLES H MCCANN TECHNICAL SCHOOL|NCD|DENTAL ASSISTING||||1140|
15044221|CHARLES H MCCANN TECHNICAL SCHOOL|NCD|MEDICAL ASSISTING||||1140|
15044221|CHARLES H MCCANN TECHNICAL SCHOOL|NCD|PRACTICAL NURSING PROGRAM||||1200|
15044221|CHARLES H MCCANN TECHNICAL SCHOOL|NCD|SURGICAL TECHNOLOGY||||1140|
20825921|MAGUIRE COMPANY INC|OJT|PIPEFITTER||||8000|K
20825921|MAGUIRE COMPANY INC|OJT|PIPEFITTER||||8000|K
20825921|MAGUIRE COMPANY INC|OJT|PLUMBER||||8000|K
20825921|MAGUIRE COMPANY INC|OJT|PLUMBER||||8000|K
10197721|VA MEDICAL CENTER-BROCKTON MA|OJT|Police Officer/Protective Service|||C|12|G
30824421|VETERANS NORTHEAST OUTREACH CENTER INC|OJT|ASSISTANT RESIDENCE MANAGER|||C|24|G
32005821|BOSTON CHILDRENS HOSPITAL GRADUATE MEDICAL EDUCATION|IHL|PEDIATRIC CRITICAL CARE MEDICINE|22||C||
32005821|BOSTON CHILDRENS HOSPITAL GRADUATE MEDICAL EDUCATION|IHL|PEDIATRIC EPILEPSY|22||C||
32005821|BOSTON CHILDRENS HOSPITAL GRADUATE MEDICAL EDUCATION|IHL|PEDIATRIC PULMONOLOGY|22||C||
35047621|GOVERNOR DUMMER ACADEMY|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15047221|READING MEMORIAL HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA|||C|18|
15048521|CAMBRIDGE RINDGE AND LATIN|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15048621|TAHANTO REGIONAL HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15048721|GROTON DUNSTABLE REGIONAL HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15049321|BARTLETT HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15049621|WORCESTER TECHNICAL HIGH SCHOOL|NCD|Electrical Code and Theory|22||C|600|
15049621|WORCESTER TECHNICAL HIGH SCHOOL|NCD|Manicurist-Nail Technician|22||C|100|
15049621|WORCESTER TECHNICAL HIGH SCHOOL|NCD|Plumber Code and Theory|22||C|110|
15049721|WELLESLEY SR HIGH|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15050321|OAKMONT REGIONAL HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
15050821|MILL POND HIGH SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
17009921|QUINCY HIGH SCHOOL|NCD|High School Diploma|||R|120|
17050421|BOSTON LATIN SCHOOL|NCD|HIGH SCHOOL DIPLOMA||||4 YRS|
20824821|WAREHOUSE MECHANICAL CONTRACTORS INC|OJT|SPRINKLER FITTER||||8000|K
18052121|SOUTH SHORE VOCATIONAL TECHNICAL HIGH SCHOOL|NCD|H.S. DIPLOMA||||1-4YRS|
10826321|SAUGUS FIRE DEPARTMENT|OJT|FIRE FIGHTER/EMT|||C|8000|K
38064521|THE WORCESTER CENTER FOR CRAFTS|NCD|CLAY||||2 YRS|
38064521|THE WORCESTER CENTER FOR CRAFTS|NCD|FIBER||||2 YRS|
38064521|THE WORCESTER CENTER FOR CRAFTS|NCD|METALS||||2 YRS|
38064521|THE WORCESTER CENTER FOR CRAFTS|NCD|WOOD||||2 YRS|
10817921|CANTON FIRE DEPARTMENT|OJT|FIREFIGHTER||||6000|K
10817921|CANTON FIRE DEPARTMENT|OJT|FIREFIGHTER||||6000|K
10817921|CANTON FIRE DEPARTMENT|OJT|Firefighter/EMT||||8000|K
10817921|CANTON FIRE DEPARTMENT|OJT|Firefighter/EMT||||8000|K
20758821|HENRY'S ELECTRIC|OJT|ELECTRICIAN||||8000|K
20815521|PEARLE VISION CENTER|OJT|DISPENSING OPTICIAN||||6000|K
20816821|POLITE'S ONE STOP BARBER AND BEAUTY SALON|OJT|BARBER APPRENTICE||||18 MO|K
20818321|PLUMBERS LOCAL UNION 12 JAC|OJT|PLUMBER|||C|10000|K
20818421|JAMES J GALVIN ELECTRICAL CONTRACTING INC|OJT|ELECTRICIAN||||8000|K
20820521|ORCHARD ELECTRIC INC|OJT|ELECTRICIAN||||8000|K
20820821|JUPITER ELECTRIC INC|OJT|TELECOMMUNICATIONS TECHNICIAN||||8000HR|K
20821921|LENSCRAFTERS INC NUMBER 749|OJT|OPTICIAN||||6000HR|K
20822221|SIGNET ELECTRONIC SYSTEMS INC|OJT|TELECOMMUNICATONS/ALARM SYSTEMS||||8000HR|K
10826521|DANVERS FIRE DEPARTMENT|OJT|FIRE FIGHTER/EMT||||8000|K
10826621|SPRINGFIELD FIRE DEPARTMENT|OJT|FIREFIGHTER|||C|6000|K
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|ADVERTISING ART & DESIGN|||C|9 M0|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|AIR COND & REFRIGERATION|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|AUTO BODY|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|AUTO REPAIR|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|COMPUTER TECHNOLOGY|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|COSMETOLOGY|||C|1000HR|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|CULINARY ARTS|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|DRAFTING|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|ELECTRICAL TECHNOLOGY|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|ELECTRONICS TECHNOLOGY|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|GRAPHIC COMMUNICATIONS|||C|300 HR|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|HEALTH OCCUPATIONS|||C|9 MO|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|HIGH SCHOOL DIPLOMA|||C|4 YRS|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|METAL FABRICATION|||C|100 HR|
15043721|BLUE HILLS REGIONAL TECHNICAL SCHOOL|NCD|STRUCTURAL WOODWORKING|||C|9 MO|
20826921|BOSTON PLASTERERS & CEMENT MASONS LOCAL 534|OJT|PLASTERER||||6000HR|K
11817121|UNIVERSITY OF MASSACHUSETTS CHAN MEDICAL SCHOOL|IHL|Biomedical Sciences-PHD|0|AS CERTIFIED|S||
