facility name,facility code,complies with section 103,solely requires coe,requires coe & additional criteria
AIM CODE SCHOOL,35000827,true,true,false
ALEGENT HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,32000327,true,true,false
BELLEVUE UNIVERSITY,31001527,true,true,false
BRYANLGH COLLEGE OF HEALTH SCIENCES,32002927,true,true,false
BUTLER PROFESSIONAL FARRIER SCHOOL,25002527,true,true,false
CAPITOL SCHOOL OF HAIRSTYLING & ESTHETICS,25002227,true,true,false
CENTRAL COMM UNITY COLLEGE - COLUMBUS,14800327,true,true,false
CENTRAL COMMUNITY COLLEGE - GRAND ISLAND,14800227,true,true,false
CENTRAL COMMUNITY COLLEGE - HASTINGS,14800127,true,true,false
CHADRON STATE COLLEGE,13900127,true,true,false
CHI HEALTH SCHOOL OF RADIOLOGIC TECHNOLOGY,32000327,true,true,false
CLARKSON COLLEGE,31002227,true,true,true
COLLEGE OF HAIR DESIGN - DOWNTOWN,28003627,true,true,false
COLLEGE OF HAIR DESIGN - EAST CAMPUS,25002827,true,true,false
COLLEGE OF SAINT MARY,31802127,true,true,
CONCORDIA UNIVERSITY NEBRASKA,33000627,true,true,false
"CREATIVE CENTER, THE",24000227,true,true,false
CREIGHTON UNIVERSITY,31800127,true,true,false
CUSTOM DIESEL DRIVERS TRAINING INC.,25000727,true,true,false
DOANE UNIVERSITY - CRETE,31801127,true,true,false
DOANE UNIVERSITY - LINCOLN,31801227,true,true,false
"EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-WORLDWIDE, OFFUTT CAMPUS",31005027,true,true,false
HASTINGS COLLEGE,31000527,true,true,false
JOSEPH'S COLLEGE - GRAND ISLAND,28021427,true,true,false
JOSEPH'S COLLEGE - HASTINGS,28007327,true,true,false
JOSEPH'S COLLEGE - KEARNEY,28021527,true,true,false
JOSEPH'S COLLEGE - LINCOLN,28001327,true,true,false
JOSEPH'S COLLEGE - NORFOLK,28003127,true,true,false
JTL TRUCK DRIVER TRAINING,25001327,true,true,false
LA'JAMES INTERNATIONAL COLLEGE,28003027,true,true,false
LITTLE PRIEST TRIBAL COLLEGE,14908127,true,true,false
MARY LANNING HEALTHCARE,32014827,true,true,false
METROPOLITAN COMMUNITY COLLEGE,14910427,true,true,false
MIDLAND UNIVERSITY,31000627,true,true,false
MID-PLAINS COMMUNITY COLLEGE - MCCOOK,14914427,true,true,true
MID-PLAINS COMMUNITY COLLEGE - NORTH PLATTE NORTH,14802427,true,true,true
MID-PLAINS COMMUNITY COLLEGE - NORTH PLATTE SOUTH,14802127,true,true,true
MIDWEST SCHOOL OF MASSAGE,25003027,true,true,false
NEBRASKA CHRISTIAN COLLEGE,31001627,true,true,false
NEBRASKA COLLEGE OF TECHNICAL AGRICULTURE,11801227,true,true,true
NEBRASKA HEALTH CARE LEARNING CENTER,35001427,true,true,false
NEBRASKA INDIAN COMMUNITY COLLEGE,14909127,true,true,
NEBRASKA LAW ENFORCEMENT TRAINING CENTER,18026827,true,true,
NEBRASKA METHODIST COLLEGE,32900227,true,true,true
NEBRASKA WESLEYAN UNIVERSITY,31906127,true,true,true
NEW HORIZONS COMPUTER LEARNING CENTER,25001527,true,true,
NORTHEAST COMMUNITY COLLEGE,14804027,true,true,true
ORACLE AVIATION,25001027,true,true,
OUR LADY OF GUADALUPE SEMINARY,31005527,true,true,
PAUL MITCHELL THE SCHOOL LINCOLN,25001827,true,true,false
PERU STATE COLLEGE,13000327,true,true,false
PURDUE UNIVERSITY GLOBAL - LINCOLN,11901327,true,true,true
REGIONAL WEST MEDICAL CENTER SCHOOL OF RADIOLOGIC TECHNOLOGY,32014727,true,true,false
SOUTHEAST COMMUNITY COLLEGE,14803027,true,true,false
SOUTHEAST COMMUNITY COLLEGE BEATRICE,14803527,true,true,false
SOUTHEAST COMMUNITY COLLEGE MILFORD,14803327,true,true,false
ST. GREGORY THE GREAT SEMINARY,31005427,true,true,false
SUMMIT CHRISTIAN COLLEGE,31902127,true,true,false
UNION COLLEGE,31901127,true,true,false
UNIVERSAL COLLEGE OF HEALING ARTS,34901127,true,true,false
UNIVERSITY OF NEBRASKA KEARNEY,13000227,true,true,true
UNIVERSITY OF NEBRASKA LINCOLN,11801127,true,true,true
UNIVERSITY OF NEBRASKA MEDICAL CENTER,11801327,true,true,true
UNIVERSITY OF NEBRASKA OMAHA,11801427,true,true,true
WAYNE STATE COLLEGE,13000527,true,true,true
WESTERN NEBRASKA COMMUNITY COLLEGE,14911427,true,true,false
XENON INTERNATIONAL ACADEMY II,28021127,true,true,false
XENON INTERNATIONAL ACADEMY II GRAND ISLAND,25002327,true,true,false
YORK COLLEGE,34913427,true,true,false
