Facility Code,Section_702
14932404,Yes
14940404,Yes
14942404,Yes
11820104,Yes
14941404,Yes
14922404,Yes
14918404,Yes
14935404,Yes
14926404,Yes
14916404,Yes
14934404,Yes
14923404,Yes
14928404,Yes
14919404,Yes
14914404,Yes
14915404,Yes
14924404,Yes
11813404,Yes
11813704,Yes
11814004,Yes
11814204,Yes
11810404,Yes
11810204,Yes
11810304,Yes
11811904,Yes
11812404,Yes
11810104,Yes
11902104,Yes
11933104,Yes
14925404,Yes
14917404,Yes
14920404,Yes
14911415,Yes
14919415,Yes
14917415,Yes
10501215,Yes
14914415,Yes
14909415,Yes
14921415,Yes
14923415,Yes
14903415,Yes
14912415,Yes
14905415,Yes
14913415,Yes
14907815,Yes
14908415,Yes
14902415,Yes
14925415,Yes
14926415,Yes
14922415,Yes
14927415,Yes
14901415,Yes
14918415,Yes
14906415,Yes
14924415,Yes
11991112,Yes
14903412,Yes
11995112,Yes
11900112,Yes
11901012,Yes
14902412,Yes
14994012,Yes
11901108,Yes
11907108,Yes
14909408,Yes
14903408,Yes
11001404,Yes
14931404,Yes
14921404,Yes
14903404,Yes
11831004,Yes
11812104,Yes
11002704,Yes
14925604,Yes
11004204,Yes
11000204,Yes
11000918,Yes
11810604,Yes
11811404,Yes
11803218,Yes
11001918,Yes
11026618,Yes
11000118,Yes
11026418,Yes
11001718,Yes
11000218,Yes
11902118,Yes
14903418,Yes
,
