unitid,instnm,school_system_code,school_system_name,settlement_description,settlement_date,settlement_link
482413,DEVRY COLLEGE OF NEW YORK,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
144777,DEVRY UNIVERSITY-ADMINISTRATIVE OFFICE,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482422,DEVRY UNIVERSITY-ARIZONA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482431,DEVRY UNIVERSITY-CALIFORNIA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482440,DEVRY UNIVERSITY-COLORADO,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482459,DEVRY UNIVERSITY-FLORIDA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482468,DEVRY UNIVERSITY-GEORGIA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482477,DEVRY UNIVERSITY-ILLINOIS,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482486,DEVRY UNIVERSITY-INDIANA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482495,DEVRY UNIVERSITY-KENTUCKY,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482501,DEVRY UNIVERSITY-MARYLAND,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482510,DEVRY UNIVERSITY-MICHIGAN,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482529,DEVRY UNIVERSITY-MINNESOTA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482538,DEVRY UNIVERSITY-MISSOURI,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482547,DEVRY UNIVERSITY-NEVADA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482556,DEVRY UNIVERSITY-NEW JERSEY,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482565,DEVRY UNIVERSITY-NORTH CAROLINA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482574,DEVRY UNIVERSITY-OHIO,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
482583,DEVRY UNIVERSITY-OKLAHOMA,301420,DeVry University Inc.,Settlement reached with the Federal Trade Commission (FTC),12/21/2016,https://www.ftc.gov/news-events/press-releases/2016/12/devry-university-agrees-100-million-settlement-ftc
