Two-Digit Series,2010 CIP Code,CIP Code Title
1,1.0308,Agroecology and Sustainable Agriculture
1,1.0901,"Animal Sciences, General"
1,1.0902,Agricultural Animal Breeding
1,1.0903,Animal Health
1,1.0904,Animal Nutrition
1,1.0905,Dairy Science
1,1.0906,Livestock Management
1,1.0907,Poultry Science
1,1.0999,"Animal Sciences, Other"
1,1.1001,Food Science
1,1.1002,Food Technology and Processing
1,1.1099,"Food Science and Technology, Other"
1,1.1101,"Plant Sciences, General"
1,1.1102,Agronomy and Crop Science
1,1.1103,Horticultural Science
1,1.1104,Agricultural and Horticultural Plant Breeding
1,1.1105,Plant Protection and Integrated Pest Management
1,1.1106,Range Science and Management
1,1.1199,"Plant Sciences, Other"
1,1.1201,"Soil Science and Agronomy, General"
1,1.1202,Soil Chemistry and Physics
1,1.1203,Soil Microbiology
1,1.1299,"Soil Sciences, Other"
3,3.0101,"Natural Resources/Conservation, General"
3,3.0103,Environmental Studies
3,3.0104,Environmental Science
3,3.0199,"Natural Resources Conservation and Research, Other"
3,3.0205,"Water, Wetlands, and Marine Resources Management"
3,3.0502,Forest Sciences and Biology
3,3.0508,Urban Forestry
3,3.0509,Wood Science and Wood Products/Pulp and Paper Technology
3,3.0601,"Wildlife, Fish and Wildlands Science and Management"
4,4.0902,Architectural and Building Sciences/Technology
9,9.0702,Digital Communication and Media/Multimedia
10,10.0304,"Animation, Interactive Technology, Video Graphics and Special Effects"
11,11.0101,"Computer and Information Sciences, General"
11,11.0102,Artificial Intelligence
11,11.0103,Information Technology
11,11.0104,Informatics
11,11.0199,"Computer and Information Sciences, Other"
11,11.0201,"Computer Programming/Programmer, General"
11,11.0202,"Computer Programming, Specific Applications"
11,11.0203,"Computer Programming, Vendor/Product Certification"
11,11.0299,"Computer Programming, Other"
11,11.0301,Data Processing and Data Processing Technology/Technician
11,11.0401,Information Science/Studies
11,11.0501,Computer Systems Analysis/Analyst
11,11.0701,Computer Science
11,11.0801,"Web Page, Digital/Multimedia and Information Resources Design"
11,11.0802,Data Modeling/Warehousing and Database Administration
11,11.0803,Computer Graphics
11,11.0804,"Modeling, Virtual Environments and Simulation"
11,11.0899,"Computer Software and Media Applications, Other"
11,11.0901,Computer Systems Networking and Telecommunications
11,11.1001,Network and System Administration/Administrator
11,11.1002,"System, Networking, and LAN/WAN Management/Manager"
11,11.1003,Computer and Information Systems Security/Information Assurance
11,11.1004,Web/Multimedia Management and Webmaster
11,11.1005,Information Technology Project Management
11,11.1006,Computer Support Specialist
11,11.1099,"Computer/Information Technology Services Administration and Management, Other"
13,13.0501,Educational/Instructional Technology
13,13.0601,Educational Evaluation and Research
13,13.0603,Educational Statistics and Research Methods
15,15,"Engineering Technology, General"
15,15.0101,Architectural Engineering Technology/Technician
15,15.0201,Civil Engineering Technology/Technician
15,15.0303,"Electrical, Electronic and Communications Engineering Technology/Technician"
15,15.0304,Laser and Optical Technology/Technician
15,15.0305,Telecommunications Technology/Technician
15,15.0306,Integrated Circuit Design
15,15.0399,"Electrical and Electronic Engineering Technologies/Technicians, Other"
15,15.0401,Biomedical Technology/Technician
15,15.0403,Electromechanical Technology/Electromechanical Engineering Technology
15,15.0404,Instrumentation Technology/Technician
15,15.0405,Robotics Technology/Technician
