city,contribution amount,degree level,division professional school,facility code,number of students,state,campus,date agreement received,year of yr participation
Langley AFB,99999,All,All,11009146,99999,VA,Langley,05/03/2019,2018/2019
Okaloosa,99999,All,All,11067010,99999,FL,,,
Ft. Gordon,99999,All,All,11011211,99999,GA,,,
Killeen,99999,All,All,11019043,99999,TN,Killeen,01/01/1900,2018/2019
Indianapolis,999999,All,All,11919514,999999,IN,,,
Cedar Rapids,999999,All,All,11901615,999999,IA,Cedar Rapids,,2019/2020
Urbandale,999999,All,All,11901815,999999,IA,Urbandale Des Moines,,2019/2020
Lewiston,999999,All,All,11805319,999999,ME,Lewiston,,2019/2020
Augusta,999999,All,All,11805419,999999,ME,Augusta,,2019/2020
Mason City,999999,All,All,11901715,999999,IA,Mason City,,2019/2020
Hagerstown,999999,All,All,11100920,999999,MD,Hagerstown,,2019/2020
San Marcos,2000,Undergraduate,All,31016005,50,CA,NULL,,2019/2020
Vienna,99999,All,School of Business Administration,21015046,99999,VA,NULL,03/04/2019,2019/2020
West Hartford,5000,Doctorate,Pharmacy,00000-14,2,CT,NULL,,2019/2020
Tigerville,1200,Graduate,All,34008940,5,SC,NULL,11/04/2019,2019/2020
Easton,261.6,Graduate,All,31903121,99999,MA,NULL,,2019/2020
Lake Mary,99999,All,All,21066310,99999,FL,,,
Lincoln,999999,All,All,11901327,999999,NE,Lincoln,,2019/2020
Milwaukee,999999,All,All,11002049,999999,WI,Milwaukee,,2019/2020
National City,99999,Undergraduate,Networking,24010205,99999,CA,,,
Lake City,2500,Undergraduate,All,31818410,999999,FL,Lake City Center,,2019/2020
Laurel,100,Graduate,All,3100672,100,MD,NULL,01/05/2019,2019/2020
Winston-Salem,5000,Undergraduate,All,31815033,99999,NC,NULL,06/04/2019,2019/2020
Portland,99999,Doctoral,All,31993619,99999,OR,NULL,09/05/2019,2019/2020
Milton,2500,Undergraduate,Laboure College,34923421,999999,MA,NULL,02/05/2019,2019/2020
Brookline,4000,All,All,31930121,3,MA,NULL,,2019/2020
Spokane,3500,Undergraduate,All,34951447,4,WA,NULL,10/05/2019,2019/2020
Vienna,99999,All,School of Information Technology,21015046,99999,VA,NULL,03/04/2019,2019/2020
Villanova,99999,Graduate,All,31924138,15,PA,Villanova,01/01/1900,2019/2020
Cambridge,12500,Graduate,Aero Astro,31003321,3,MA,NULL,,2019/2020
Tigerville,800,Undergraduate,All,34008940,2,SC,NULL,11/04/2019,2019/2020
Weston,25000,Graduate,Young School of Nursing,31002121,100,MA,NULL,,2019/2020
Weston,25000,Graduate,School of Business & Communication,31002121,100,MA,NULL,,2019/2020
National City,99999,Undergraduate,Software Development,24010205,99999,CA,,,
San Antonio,99999,All,All,21034513,99999,TX,San Antonio,01/01/1900,2019/2020
