zip_code,mha_code,mha_name,mha_rate,mha_rate_grandfathered
"""00501""",NY218,"LONG ISLAND, NY",3285,
"""00544""",NY218,"LONG ISLAND, NY",3285,
"""00601""",XX499,,1700,
"""00602""",XX499,,1700,
"""00603""",XX499,,1700,
"""00604""",XX499,,1700,
"""00605""",XX499,,1700,
"""00606""",XX499,,1700,
"""00610""",XX499,,1700,
"""00611""",XX499,,1700,
"""00612""",XX499,,1700,
"""00613""",XX499,,1700,
"""00614""",XX499,,1700,
"""00616""",XX499,,1700,
"""00617""",XX499,,1700,
"""00622""",XX499,,1700,
"""00623""",XX499,,1700,
"""00624""",XX499,,1700,
"""00627""",XX499,,1700,
"""00631""",XX499,,1700,
"""00636""",XX499,,1700,
"""00637""",XX499,,1700,
"""00638""",XX499,,1700,
"""00641""",XX499,,1700,
"""00646""",XX499,,1700,
"""00647""",XX499,,1700,
"""00650""",XX499,,1700,
"""00652""",XX499,,1700,
"""00653""",XX499,,1700,
"""00656""",XX499,,1700,
"""00659""",XX499,,1700,
"""00660""",XX499,,1700,
"""00662""",XX499,,1700,
"""00664""",XX499,,1700,
"""00667""",XX499,,1700,
"""00669""",XX499,,1700,
"""00670""",XX499,,1700,
"""00674""",XX499,,1700,
"""00676""",XX499,,1700,
"""00677""",XX499,,1700,
"""00678""",XX499,,1700,
"""00680""",XX499,,1725,
"""00681""",XX499,,1725,
"""00682""",XX499,,1725,
"""00683""",XX499,,1700,
"""00685""",XX499,,1700,
"""00687""",XX499,,1700,
"""00688""",XX499,,1700,
"""00690""",XX499,,1700,
"""00692""",XX499,,1700,
"""00693""",XX499,,1900,
"""00694""",XX499,,1900,
"""00698""",XX499,,1700,
"""00703""",XX499,,1700,
"""00704""",XX499,,1700,
"""00705""",XX499,,1700,
"""00707""",XX499,,1700,
"""00714""",XX499,,1700,
"""00715""",XX499,,1700,
"""00716""",XX499,,1700,
"""00717""",XX499,,1700,
"""00718""",XX499,,1700,
"""00719""",XX499,,1700,
"""00720""",XX499,,1700,
"""00721""",XX499,,1700,
"""00723""",XX499,,1700,
"""00725""",XX499,,1900,
"""00726""",XX499,,1900,
"""00727""",XX499,,1900,
"""00728""",XX499,,1700,
"""00729""",XX499,,1700,
"""00730""",XX499,,1700,
"""00731""",XX499,,1700,
"""00732""",XX499,,1700,
"""00733""",XX499,,1700,
"""00734""",XX499,,1700,
"""00735""",XX499,,1700,
"""00736""",XX499,,1900,
"""00737""",XX499,,1900,
"""00738""",XX499,,1950,
"""00739""",XX499,,1700,
"""00740""",XX499,,1700,
"""00741""",XX499,,1700,
"""00742""",XX499,,1950,
"""00744""",XX499,,1700,
"""00745""",XX499,,1700,
"""00751""",XX499,,1700,
"""00754""",XX499,,1700,
"""00757""",XX499,,1700,
"""00765""",XX499,,1700,
"""00766""",XX499,,1700,
"""00767""",XX499,,1700,
"""00769""",XX499,,1700,
"""00771""",XX499,,1700,
"""00772""",XX499,,1700,
"""00773""",XX499,,1950,
"""00775""",XX499,,1700,
"""00777""",XX499,,1700,
"""00778""",XX499,,1700,
"""00780""",XX499,,1700,
"""00782""",XX499,,1700,
"""00783""",XX499,,1700,
"""00784""",XX499,,1700,
"""00785""",XX499,,1700,
"""00786""",XX499,,1700,
"""00791""",XX499,,1950,
"""00792""",XX499,,1950,
"""00794""",XX499,,1700,
"""00795""",XX499,,1700,
"""00801""",XX499,,2650,
"""00802""",XX499,,2650,
"""00803""",XX499,,2650,
"""00804""",XX499,,2650,
"""00805""",XX499,,2650,
"""00820""",XX499,,2222,
"""00821""",XX499,,2222,
"""00822""",XX499,,2222,
"""00823""",XX499,,2222,
"""00824""",XX499,,2222,
"""00830""",XX499,,1278,
"""00831""",XX499,,1278,
"""00840""",XX499,,2222,
"""00841""",XX499,,2222,
"""00850""",XX499,,2222,
"""00851""",XX499,,2222,
"""00901""",XX499,,1900,
"""00902""",XX499,,1900,
"""00906""",XX499,,1900,
"""00907""",XX499,,1900,
"""00908""",XX499,,1900,
"""00909""",XX499,,1900,
"""00910""",XX499,,1900,
"""00911""",XX499,,1900,
"""00912""",XX499,,1900,
"""00913""",XX499,,1900,
"""00914""",XX499,,1900,
"""00915""",XX499,,1900,
"""00916""",XX499,,1900,
"""00917""",XX499,,1900,
"""00918""",XX499,,1900,
"""00919""",XX499,,1900,
"""00920""",XX499,,1900,
"""00921""",XX499,,1900,
"""00922""",XX499,,1900,
"""00923""",XX499,,1900,
"""00924""",XX499,,1900,
"""00925""",XX499,,1900,
"""00926""",XX499,,1900,
"""00927""",XX499,,1900,
"""00928""",XX499,,1900,
"""00929""",XX499,,1900,
"""00930""",XX499,,1900,
"""00931""",XX499,,1900,
"""00933""",XX499,,1900,
"""00934""",XX499,,1900,
"""00935""",XX499,,1900,
"""00936""",XX499,,1900,
"""00937""",XX499,,1900,
"""00939""",XX499,,1900,
"""00940""",XX499,,1900,
"""00949""",XX499,,1700,
"""00950""",XX499,,1700,
"""00951""",XX499,,1700,
"""00952""",XX499,,1900,
"""00953""",XX499,,1700,
"""00954""",XX499,,1700,
"""00955""",XX499,,1900,
"""00956""",XX499,,1900,
"""00957""",XX499,,1900,
"""00958""",XX499,,1900,
"""00959""",XX499,,1900,
"""00960""",XX499,,1900,
